t_s,Ux_T1_cm,Ux_T2_cm,Uy_T1_cm,Uy_T2_cm
0.0200,-0.00004404,-0.00004404,-0.00000000,-0.00000000
0.0400,-0.00023931,-0.00023929,0.00000009,0.00000008
0.0600,-0.00038660,-0.00038660,0.00000035,0.00000033
0.0800,-0.00034815,-0.00034813,0.00000039,0.00000038
0.1000,-0.00021234,-0.00021234,0.00000061,0.00000061
0.1200,-0.00010122,-0.00010123,0.00000047,0.00000047
0.1400,-0.00027132,-0.00027131,0.00000059,0.00000058
0.1600,-0.00069114,-0.00069113,0.00000050,0.00000048
0.1800,-0.00125305,-0.00125298,0.00000082,0.00000078
0.2000,-0.00165769,-0.00165765,0.00000130,0.00000125
0.2200,-0.00166703,-0.00166692,0.00000196,0.00000190
0.2400,-0.00119521,-0.00119517,0.00000249,0.00000246
0.2600,-0.00027762,-0.00027759,0.00000244,0.00000243
0.2800,0.00087060,0.00087054,0.00000156,0.00000159
0.3000,0.00211692,0.00211680,-0.00000043,-0.00000036
0.3200,0.00330507,0.00330494,-0.00000319,-0.00000309
0.3400,0.00447776,0.00447756,-0.00000632,-0.00000617
0.3600,0.00562539,0.00562522,-0.00000931,-0.00000914
0.3800,0.00638146,0.00638120,-0.00001137,-0.00001115
0.4000,0.00616167,0.00616146,-0.00001191,-0.00001172
0.4200,0.00455559,0.00455538,-0.00001037,-0.00001022
0.4400,0.00146349,0.00146342,-0.00000667,-0.00000663
0.4600,-0.00274281,-0.00274272,-0.00000060,-0.00000068
0.4800,-0.00735532,-0.00735503,0.00000693,0.00000669
0.5000,-0.01188613,-0.01188561,0.00001550,0.00001512
0.5200,-0.01553830,-0.01553768,0.00002361,0.00002313
0.5400,-0.01754913,-0.01754839,0.00002966,0.00002910
0.5600,-0.01764038,-0.01763973,0.00003240,0.00003185
0.5800,-0.01549873,-0.01549813,0.00003077,0.00003027
0.6000,-0.01114526,-0.01114488,0.00002420,0.00002385
0.6200,-0.00557969,-0.00557947,0.00001367,0.00001349
0.6400,0.00083079,0.00083078,0.00000097,0.00000100
0.6600,0.00923515,0.00923484,-0.00001316,-0.00001288
0.6800,0.02014342,0.02014270,-0.00002798,-0.00002735
0.7000,0.03138477,0.03138351,-0.00004261,-0.00004160
0.7200,0.03767889,0.03767732,-0.00005482,-0.00005361
0.7400,0.03355246,0.03355095,-0.00006012,-0.00005903
0.7600,0.01642043,0.01641956,-0.00005429,-0.00005373
0.7800,-0.01329314,-0.01329255,-0.00003017,-0.00003062
0.8000,-0.04245708,-0.04245506,0.00001474,0.00001339
0.8200,-0.05137361,-0.05137100,0.00006220,0.00006053
