floor	height	KYH1	KYH2	KYH3
1	6.000	0.00090996	0.00363214	0.00668503
2	12.000	0.00137939	0.00545437	0.01036310
3	18.000	0.00225910	0.00885126	0.01727280
4	24.000	0.00252896	0.00991009	0.01937010
5	30.000	0.00293620	0.01147670	0.02271910
6	36.000	0.00305077	0.01192710	0.02364110
7	42.000	0.00337388	0.01317190	0.02640750
8	48.000	0.00371686	0.01450690	0.02915290
9	54.000	0.00351478	0.01371240	0.02793520
10	60.000	0.00391456	0.01522050	0.03109000
11	66.000	0.00408017	0.01564210	0.03229400
12	72.000	0.00438520	0.01675860	0.03468090
13	78.000	0.00385056	0.01464140	0.03038300
14	84.000	0.00407820	0.01542870	0.03211050
15	90.000	0.00365070	0.01362750	0.02855840
16	96.000	0.00363623	0.01352830	0.02840030
17	102.000	0.00303798	0.01114980	0.02353290
18	108.000	0.00325003	0.01185890	0.02507320
19	114.000	0.00307965	0.01111730	0.02357270
20	120.000	0.00318505	0.01145170	0.02431050
21	126.000	0.00282020	0.01009840	0.02145710
22	132.000	0.00281631	0.01006520	0.02139810
23	138.000	0.00230906	0.00831746	0.01763650
24	144.000	0.00219741	0.00792968	0.01680420
25	150.000	0.00162837	0.00598938	0.01261710
