floor	height	KYH1	KYH2	KYH3
1	6.000	0.00819134	0.03269520	0.06017700
2	12.000	0.01647240	0.06544080	0.12239200
3	18.000	0.03004340	0.11861300	0.22615200
4	24.000	0.04520950	0.17804400	0.34231300
5	30.000	0.06282590	0.24690000	0.47863200
6	36.000	0.08115150	0.31854500	0.62063600
7	42.000	0.10157700	0.39829000	0.78044000
8	48.000	0.13291000	0.52054700	1.02828000
9	54.000	0.14485000	0.56722500	1.12219000
10	60.000	0.17184500	0.67275200	1.33943000
11	66.000	0.19244900	0.75340500	1.50460000
12	72.000	0.21888900	0.85708800	1.71971000
13	78.000	0.24054300	0.94200600	1.89543000
14	84.000	0.26697400	1.04619000	2.11366000
15	90.000	0.28480100	1.11619000	2.25910000
16	96.000	0.31197300	1.21859000	2.47542000
17	102.000	0.32408700	1.26432000	2.57088000
18	108.000	0.34383500	1.33687000	2.72503000
19	114.000	0.36127900	1.40161000	2.86166000
20	120.000	0.38025000	1.47096000	3.00939000
21	126.000	0.39651000	1.53104000	3.13654000
22	132.000	0.41309400	1.59086000	3.26398000
23	138.000	0.42685100	1.64109000	3.37026000
24	144.000	0.43994400	1.68871000	3.47119000
25	150.000	0.45193000	1.73266000	3.56396000
