floor,height_cm,driftRatio_KYH1,peakDisp_cm_KYH1,driftRatio_KYH2,peakDisp_cm_KYH2,driftRatio_KYH3,peakDisp_cm_KYH3
1,6.000,0.00090996,0.00819134,0.00363214,0.03269520,0.00668503,0.06017700
2,12.000,0.00137939,0.01647240,0.00545437,0.06544080,0.01036310,0.12239200
3,18.000,0.00225910,0.03004340,0.00885126,0.11861300,0.01727280,0.22615200
4,24.000,0.00252896,0.04520950,0.00991009,0.17804400,0.01937010,0.34231300
5,30.000,0.00293620,0.06282590,0.01147670,0.24690000,0.02271910,0.47863200
6,36.000,0.00305077,0.08115150,0.01192710,0.31854500,0.02364110,0.62063600
7,42.000,0.00337388,0.10157700,0.01317190,0.39829000,0.02640750,0.78044000
8,48.000,0.00371686,0.13291000,0.01450690,0.52054700,0.02915290,1.02828000
9,54.000,0.00351478,0.14485000,0.01371240,0.56722500,0.02793520,1.12219000
10,60.000,0.00391456,0.17184500,0.01522050,0.67275200,0.03109000,1.33943000
11,66.000,0.00408017,0.19244900,0.01564210,0.75340500,0.03229400,1.50460000
12,72.000,0.00438520,0.21888900,0.01675860,0.85708800,0.03468090,1.71971000
13,78.000,0.00385056,0.24054300,0.01464140,0.94200600,0.03038300,1.89543000
14,84.000,0.00407820,0.26697400,0.01542870,1.04619000,0.03211050,2.11366000
15,90.000,0.00365070,0.28480100,0.01362750,1.11619000,0.02855840,2.25910000
16,96.000,0.00363623,0.31197300,0.01352830,1.21859000,0.02840030,2.47542000
17,102.000,0.00303798,0.32408700,0.01114980,1.26432000,0.02353290,2.57088000
18,108.000,0.00325003,0.34383500,0.01185890,1.33687000,0.02507320,2.72503000
19,114.000,0.00307965,0.36127900,0.01111730,1.40161000,0.02357270,2.86166000
20,120.000,0.00318505,0.38025000,0.01145170,1.47096000,0.02431050,3.00939000
21,126.000,0.00282020,0.39651000,0.01009840,1.53104000,0.02145710,3.13654000
22,132.000,0.00281631,0.41309400,0.01006520,1.59086000,0.02139810,3.26398000
23,138.000,0.00230906,0.42685100,0.00831746,1.64109000,0.01763650,3.37026000
24,144.000,0.00219741,0.43994400,0.00792968,1.68871000,0.01680420,3.47119000
25,150.000,0.00162837,0.45193000,0.00598938,1.73266000,0.01261710,3.56396000

# Roof Peak Acceleration (Tower 1)
# ground_motion,peak_accel_cm_s2,peak_accel_g
# KYH1,1041.170000,1.061335
# KYH2,3168.390000,3.229755
# KYH3,6143.840000,6.262834
