floor,z,n_nodes,Lx,Ly,cm_x,cm_y,cr_x,cr_y,e_x,e_y,e_acc_x,e_acc_y,e_total_x,e_total_y,eta_x,eta_y,eta_max,D_bi,a1a,a1a_severe,k_story,n_col,n_brace,b1_eta,b1,b2_eta,b2,mass,b3_above,b3_below,b3
1,9.0,64,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,1.9342222222222205,64,0,0.2962962962962958,True,0.2962962962962958,True,1.6087128712871286,1.0,1.0,False
2,15.0,64,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6087128712871286,1.0,1.0,False
3,21.0,64,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6087128712871286,1.0,1.0,False
4,27.0,64,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6087128712871286,0.9696969696969696,1.0,False
5,33.0,66,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6589851485148515,1.0,1.03125,False
6,39.0,66,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6589851485148515,1.03125,1.0,False
7,45.0,64,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6087128712871286,1.0,0.9696969696969696,False
8,51.0,64,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6087128712871286,1.0,1.0,False
9,57.0,64,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6087128712871286,1.0,1.0,False
10,63.0,64,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6087128712871286,0.9696969696969696,1.0,False
11,69.0,66,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6589851485148515,1.0,1.03125,False
12,75.0,66,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6589851485148515,1.03125,1.0,False
13,81.0,64,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6087128712871286,1.0,0.9696969696969696,False
14,87.0,64,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6087128712871286,1.0,1.0,False
15,93.0,64,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6087128712871286,1.0,1.0,False
16,99.0,64,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6087128712871286,0.9696969696969696,1.0,False
17,105.0,66,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6589851485148515,1.0,1.03125,False
18,111.0,66,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6589851485148515,1.03125,1.0,False
19,117.0,64,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6087128712871286,1.0,0.9696969696969696,False
20,123.0,64,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6087128712871286,1.0,1.0,False
21,129.0,64,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6087128712871286,1.0,1.0,False
22,135.0,64,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6087128712871286,0.9696969696969696,1.0,False
23,141.0,66,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6589851485148515,1.03125,1.03125,False
24,147.0,64,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6087128712871286,0.9696969696969696,0.9696969696969696,False
25,153.0,66,30.0,40.0,15.0,20.0,15.0,20.0,0.0,0.0,1.5,2.0,1.5,2.0,1.1,1.1,1.1,1.0,False,False,6.528000000000006,64,0,1.0,False,1.0,False,1.6589851485148515,1.0,1.03125,False
