DASK 2026 Time History Analysis Log
Ground Motion: KYH1 (PGA = 0.335 g)
Model: V9 Twin Towers (1680 nodes, 4248 elements)
dt_analysis = 0.005 s, Nsteps = 6446
Started: 1770458990
================================================

step=1 t=0.005 pct=0% T1_Ux=-0.000001 T1_Uy=-0.000000 T2_Ux=-0.000001 T2_Uy=-0.000000 maxT1_Ux=0.000001 maxT2_Ux=0.000001 elapsed=1s
step=2 t=0.010 pct=0% T1_Ux=-0.000005 T1_Uy=-0.000000 T2_Ux=-0.000005 T2_Uy=-0.000000 maxT1_Ux=0.000005 maxT2_Ux=0.000005 elapsed=1s
step=3 t=0.015 pct=0% T1_Ux=-0.000019 T1_Uy=-0.000000 T2_Ux=-0.000019 T2_Uy=-0.000000 maxT1_Ux=0.000019 maxT2_Ux=0.000019 elapsed=1s
step=4 t=0.020 pct=0% T1_Ux=-0.000044 T1_Uy=-0.000000 T2_Ux=-0.000044 T2_Uy=-0.000000 maxT1_Ux=0.000044 maxT2_Ux=0.000044 elapsed=2s
step=5 t=0.025 pct=0% T1_Ux=-0.000079 T1_Uy=0.000000 T2_Ux=-0.000079 T2_Uy=-0.000000 maxT1_Ux=0.000079 maxT2_Ux=0.000079 elapsed=2s
step=128 t=0.640 pct=1% T1_Ux=0.000421 T1_Uy=0.000003 T2_Ux=0.000421 T2_Uy=0.000003 maxT1_Ux=0.000421 maxT2_Ux=0.000421 elapsed=47s
step=256 t=1.280 pct=3% T1_Ux=0.160164 T1_Uy=-0.000218 T2_Ux=0.160161 T2_Uy=-0.000213 maxT1_Ux=0.160164 maxT2_Ux=0.160161 elapsed=87s
step=384 t=1.920 pct=5% T1_Ux=-0.067539 T1_Uy=-0.000186 T2_Ux=-0.067560 T2_Uy=-0.000188 maxT1_Ux=0.160164 maxT2_Ux=0.160161 elapsed=126s
step=512 t=2.560 pct=7% T1_Ux=-0.067901 T1_Uy=0.000268 T2_Ux=-0.067887 T2_Uy=0.000265 maxT1_Ux=0.160164 maxT2_Ux=0.160161 elapsed=165s
step=640 t=3.200 pct=9% T1_Ux=-0.411998 T1_Uy=0.000301 T2_Ux=-0.411970 T2_Uy=0.000287 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=204s
step=768 t=3.840 pct=11% T1_Ux=-0.029152 T1_Uy=0.001173 T2_Ux=-0.029163 T2_Uy=0.001172 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=243s
step=896 t=4.480 pct=13% T1_Ux=0.292230 T1_Uy=0.000184 T2_Ux=0.292209 T2_Uy=0.000193 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=282s
step=1024 t=5.120 pct=15% T1_Ux=-0.011705 T1_Uy=-0.000495 T2_Ux=-0.011697 T2_Uy=-0.000496 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=321s
step=1152 t=5.760 pct=17% T1_Ux=0.186950 T1_Uy=0.000453 T2_Ux=0.186925 T2_Uy=0.000459 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=361s
step=1280 t=6.400 pct=19% T1_Ux=0.325068 T1_Uy=-0.000073 T2_Ux=0.325059 T2_Uy=-0.000062 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=400s
step=1408 t=7.040 pct=21% T1_Ux=0.054067 T1_Uy=-0.000253 T2_Ux=0.054070 T2_Uy=-0.000251 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=439s
step=1536 t=7.680 pct=23% T1_Ux=-0.149766 T1_Uy=-0.000071 T2_Ux=-0.149755 T2_Uy=-0.000077 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=478s
step=1664 t=8.320 pct=25% T1_Ux=-0.034918 T1_Uy=-0.000177 T2_Ux=-0.034908 T2_Uy=-0.000178 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=518s
step=1792 t=8.960 pct=27% T1_Ux=-0.030632 T1_Uy=-0.000144 T2_Ux=-0.030643 T2_Uy=-0.000145 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=557s
step=1920 t=9.600 pct=29% T1_Ux=-0.123757 T1_Uy=-0.000175 T2_Ux=-0.123747 T2_Uy=-0.000179 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=596s
step=2048 t=10.240 pct=31% T1_Ux=0.045949 T1_Uy=-0.000111 T2_Ux=0.045950 T2_Uy=-0.000110 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=753s
step=2176 t=10.880 pct=33% T1_Ux=-0.088092 T1_Uy=-0.000228 T2_Ux=-0.088084 T2_Uy=-0.000231 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=839s
step=2304 t=11.520 pct=35% T1_Ux=0.162434 T1_Uy=0.000027 T2_Ux=0.162424 T2_Uy=0.000032 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=901s
step=2432 t=12.160 pct=37% T1_Ux=-0.065548 T1_Uy=-0.000125 T2_Ux=-0.065545 T2_Uy=-0.000127 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=1056s
step=2560 t=12.800 pct=39% T1_Ux=-0.252330 T1_Uy=-0.000196 T2_Ux=-0.252311 T2_Uy=-0.000205 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=1163s
step=2688 t=13.440 pct=41% T1_Ux=-0.130564 T1_Uy=-0.000369 T2_Ux=-0.130553 T2_Uy=-0.000373 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=1238s
step=2816 t=14.080 pct=43% T1_Ux=-0.067863 T1_Uy=0.000173 T2_Ux=-0.067859 T2_Uy=0.000171 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=1278s
step=2944 t=14.720 pct=45% T1_Ux=-0.070654 T1_Uy=0.000425 T2_Ux=-0.070642 T2_Uy=0.000422 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=1346s
step=3072 t=15.360 pct=47% T1_Ux=0.270658 T1_Uy=-0.000174 T2_Ux=0.270633 T2_Uy=-0.000165 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=1512s
step=3200 t=16.000 pct=49% T1_Ux=-0.030917 T1_Uy=-0.000190 T2_Ux=-0.030900 T2_Uy=-0.000191 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=1648s
step=3328 t=16.640 pct=51% T1_Ux=-0.046579 T1_Uy=0.000112 T2_Ux=-0.046577 T2_Uy=0.000110 maxT1_Ux=0.411998 maxT2_Ux=0.411970 elapsed=1782s
