element_id,node_i,node_j,element_type,length
0,0,39,beam_x,8.0
1,39,78,beam_x,8.0
2,78,117,beam_x,8.0
3,117,156,beam_x,8.0
4,156,195,beam_x,8.0
5,13,52,beam_x,8.0
6,52,91,beam_x,8.0
7,91,130,beam_x,8.0
8,130,169,beam_x,8.0
9,169,208,beam_x,8.0
10,26,65,beam_x,8.0
11,65,104,beam_x,8.0
12,104,143,beam_x,8.0
13,143,182,beam_x,8.0
14,182,221,beam_x,8.0
15,1,40,beam_x,8.0
16,40,79,beam_x,8.0
17,79,118,beam_x,8.0
18,118,157,beam_x,8.0
19,157,196,beam_x,8.0
20,14,53,beam_x,8.0
21,53,92,beam_x,8.0
22,92,131,beam_x,8.0
23,131,170,beam_x,8.0
24,170,209,beam_x,8.0
25,27,66,beam_x,8.0
26,66,105,beam_x,8.0
27,105,144,beam_x,8.0
28,144,183,beam_x,8.0
29,183,222,beam_x,8.0
30,2,41,beam_x,8.0
31,41,80,beam_x,8.0
32,80,119,beam_x,8.0
33,119,158,beam_x,8.0
34,158,197,beam_x,8.0
35,15,54,beam_x,8.0
36,54,93,beam_x,8.0
37,93,132,beam_x,8.0
38,132,171,beam_x,8.0
39,171,210,beam_x,8.0
40,28,67,beam_x,8.0
41,67,106,beam_x,8.0
42,106,145,beam_x,8.0
43,145,184,beam_x,8.0
44,184,223,beam_x,8.0
45,3,42,beam_x,8.0
46,42,81,beam_x,8.0
47,81,120,beam_x,8.0
48,120,159,beam_x,8.0
49,159,198,beam_x,8.0
50,16,55,beam_x,8.0
51,55,94,beam_x,8.0
52,94,133,beam_x,8.0
53,133,172,beam_x,8.0
54,172,211,beam_x,8.0
55,29,68,beam_x,8.0
56,68,107,beam_x,8.0
57,107,146,beam_x,8.0
58,146,185,beam_x,8.0
59,185,224,beam_x,8.0
60,4,43,beam_x,8.0
61,43,82,beam_x,8.0
62,82,121,beam_x,8.0
63,121,160,beam_x,8.0
64,160,199,beam_x,8.0
65,17,56,beam_x,8.0
66,56,95,beam_x,8.0
67,95,134,beam_x,8.0
68,134,173,beam_x,8.0
69,173,212,beam_x,8.0
70,30,69,beam_x,8.0
71,69,108,beam_x,8.0
72,108,147,beam_x,8.0
73,147,186,beam_x,8.0
74,186,225,beam_x,8.0
75,5,44,beam_x,8.0
76,44,83,beam_x,8.0
77,83,122,beam_x,8.0
78,122,161,beam_x,8.0
79,161,200,beam_x,8.0
80,18,57,beam_x,8.0
81,57,96,beam_x,8.0
82,96,135,beam_x,8.0
83,135,174,beam_x,8.0
84,174,213,beam_x,8.0
85,31,70,beam_x,8.0
86,70,109,beam_x,8.0
87,109,148,beam_x,8.0
88,148,187,beam_x,8.0
89,187,226,beam_x,8.0
90,6,45,beam_x,8.0
91,45,84,beam_x,8.0
92,84,123,beam_x,8.0
93,123,162,beam_x,8.0
94,162,201,beam_x,8.0
95,19,58,beam_x,8.0
96,58,97,beam_x,8.0
97,97,136,beam_x,8.0
98,136,175,beam_x,8.0
99,175,214,beam_x,8.0
100,32,71,beam_x,8.0
101,71,110,beam_x,8.0
102,110,149,beam_x,8.0
103,149,188,beam_x,8.0
104,188,227,beam_x,8.0
105,7,46,beam_x,8.0
106,46,85,beam_x,8.0
107,85,124,beam_x,8.0
108,124,163,beam_x,8.0
109,163,202,beam_x,8.0
110,20,59,beam_x,8.0
111,59,98,beam_x,8.0
112,98,137,beam_x,8.0
113,137,176,beam_x,8.0
114,176,215,beam_x,8.0
115,33,72,beam_x,8.0
116,72,111,beam_x,8.0
117,111,150,beam_x,8.0
118,150,189,beam_x,8.0
119,189,228,beam_x,8.0
120,8,47,beam_x,8.0
121,47,86,beam_x,8.0
122,86,125,beam_x,8.0
123,125,164,beam_x,8.0
124,164,203,beam_x,8.0
125,21,60,beam_x,8.0
126,60,99,beam_x,8.0
127,99,138,beam_x,8.0
128,138,177,beam_x,8.0
129,177,216,beam_x,8.0
130,34,73,beam_x,8.0
131,73,112,beam_x,8.0
132,112,151,beam_x,8.0
133,151,190,beam_x,8.0
134,190,229,beam_x,8.0
135,9,48,beam_x,8.0
136,48,87,beam_x,8.0
137,87,126,beam_x,8.0
138,126,165,beam_x,8.0
139,165,204,beam_x,8.0
140,22,61,beam_x,8.0
141,61,100,beam_x,8.0
142,100,139,beam_x,8.0
143,139,178,beam_x,8.0
144,178,217,beam_x,8.0
145,35,74,beam_x,8.0
146,74,113,beam_x,8.0
147,113,152,beam_x,8.0
148,152,191,beam_x,8.0
149,191,230,beam_x,8.0
150,10,49,beam_x,8.0
151,49,88,beam_x,8.0
152,88,127,beam_x,8.0
153,127,166,beam_x,8.0
154,166,205,beam_x,8.0
155,23,62,beam_x,8.0
156,62,101,beam_x,8.0
157,101,140,beam_x,8.0
158,140,179,beam_x,8.0
159,179,218,beam_x,8.0
160,36,75,beam_x,8.0
161,75,114,beam_x,8.0
162,114,153,beam_x,8.0
163,153,192,beam_x,8.0
164,192,231,beam_x,8.0
165,11,50,beam_x,8.0
166,50,89,beam_x,8.0
167,89,128,beam_x,8.0
168,128,167,beam_x,8.0
169,167,206,beam_x,8.0
170,24,63,beam_x,8.0
171,63,102,beam_x,8.0
172,102,141,beam_x,8.0
173,141,180,beam_x,8.0
174,180,219,beam_x,8.0
175,37,76,beam_x,8.0
176,76,115,beam_x,8.0
177,115,154,beam_x,8.0
178,154,193,beam_x,8.0
179,193,232,beam_x,8.0
180,12,51,beam_x,8.0
181,51,90,beam_x,8.0
182,90,129,beam_x,8.0
183,129,168,beam_x,8.0
184,168,207,beam_x,8.0
185,25,64,beam_x,8.0
186,64,103,beam_x,8.0
187,103,142,beam_x,8.0
188,142,181,beam_x,8.0
189,181,220,beam_x,8.0
190,38,77,beam_x,8.0
191,77,116,beam_x,8.0
192,116,155,beam_x,8.0
193,155,194,beam_x,8.0
194,194,233,beam_x,8.0
195,234,273,beam_x,8.0
196,273,312,beam_x,8.0
197,312,351,beam_x,8.0
198,247,286,beam_x,8.0
199,286,325,beam_x,8.0
200,325,364,beam_x,8.0
201,260,299,beam_x,8.0
202,299,338,beam_x,8.0
203,338,377,beam_x,8.0
204,235,274,beam_x,8.0
205,274,313,beam_x,8.0
206,313,352,beam_x,8.0
207,248,287,beam_x,8.0
208,287,326,beam_x,8.0
209,326,365,beam_x,8.0
210,261,300,beam_x,8.0
211,300,339,beam_x,8.0
212,339,378,beam_x,8.0
213,236,275,beam_x,8.0
214,275,314,beam_x,8.0
215,314,353,beam_x,8.0
216,249,288,beam_x,8.0
217,288,327,beam_x,8.0
218,327,366,beam_x,8.0
219,262,301,beam_x,8.0
220,301,340,beam_x,8.0
221,340,379,beam_x,8.0
222,237,276,beam_x,8.0
223,276,315,beam_x,8.0
224,315,354,beam_x,8.0
225,250,289,beam_x,8.0
226,289,328,beam_x,8.0
227,328,367,beam_x,8.0
228,263,302,beam_x,8.0
229,302,341,beam_x,8.0
230,341,380,beam_x,8.0
231,238,277,beam_x,8.0
232,277,316,beam_x,8.0
233,316,355,beam_x,8.0
234,251,290,beam_x,8.0
235,290,329,beam_x,8.0
236,329,368,beam_x,8.0
237,264,303,beam_x,8.0
238,303,342,beam_x,8.0
239,342,381,beam_x,8.0
240,239,278,beam_x,8.0
241,278,317,beam_x,8.0
242,317,356,beam_x,8.0
243,252,291,beam_x,8.0
244,291,330,beam_x,8.0
245,330,369,beam_x,8.0
246,265,304,beam_x,8.0
247,304,343,beam_x,8.0
248,343,382,beam_x,8.0
249,240,279,beam_x,8.0
250,279,318,beam_x,8.0
251,318,357,beam_x,8.0
252,253,292,beam_x,8.0
253,292,331,beam_x,8.0
254,331,370,beam_x,8.0
255,266,305,beam_x,8.0
256,305,344,beam_x,8.0
257,344,383,beam_x,8.0
258,241,280,beam_x,8.0
259,280,319,beam_x,8.0
260,319,358,beam_x,8.0
261,254,293,beam_x,8.0
262,293,332,beam_x,8.0
263,332,371,beam_x,8.0
264,267,306,beam_x,8.0
265,306,345,beam_x,8.0
266,345,384,beam_x,8.0
267,242,281,beam_x,8.0
268,281,320,beam_x,8.0
269,320,359,beam_x,8.0
270,255,294,beam_x,8.0
271,294,333,beam_x,8.0
272,333,372,beam_x,8.0
273,268,307,beam_x,8.0
274,307,346,beam_x,8.0
275,346,385,beam_x,8.0
276,243,282,beam_x,8.0
277,282,321,beam_x,8.0
278,321,360,beam_x,8.0
279,256,295,beam_x,8.0
280,295,334,beam_x,8.0
281,334,373,beam_x,8.0
282,269,308,beam_x,8.0
283,308,347,beam_x,8.0
284,347,386,beam_x,8.0
285,244,283,beam_x,8.0
286,283,322,beam_x,8.0
287,322,361,beam_x,8.0
288,257,296,beam_x,8.0
289,296,335,beam_x,8.0
290,335,374,beam_x,8.0
291,270,309,beam_x,8.0
292,309,348,beam_x,8.0
293,348,387,beam_x,8.0
294,245,284,beam_x,8.0
295,284,323,beam_x,8.0
296,323,362,beam_x,8.0
297,258,297,beam_x,8.0
298,297,336,beam_x,8.0
299,336,375,beam_x,8.0
300,271,310,beam_x,8.0
301,310,349,beam_x,8.0
302,349,388,beam_x,8.0
303,246,285,beam_x,8.0
304,285,324,beam_x,8.0
305,324,363,beam_x,8.0
306,259,298,beam_x,8.0
307,298,337,beam_x,8.0
308,337,376,beam_x,8.0
309,272,311,beam_x,8.0
310,311,350,beam_x,8.0
311,350,389,beam_x,8.0
312,0,13,beam_y,8.0
313,13,26,beam_y,8.0
314,39,52,beam_y,8.0
315,52,65,beam_y,8.0
316,78,91,beam_y,8.0
317,91,104,beam_y,8.0
318,117,130,beam_y,8.0
319,130,143,beam_y,8.0
320,156,169,beam_y,8.0
321,169,182,beam_y,8.0
322,195,208,beam_y,8.0
323,208,221,beam_y,8.0
324,1,14,beam_y,8.0
325,14,27,beam_y,8.0
326,40,53,beam_y,8.0
327,53,66,beam_y,8.0
328,79,92,beam_y,8.0
329,92,105,beam_y,8.0
330,118,131,beam_y,8.0
331,131,144,beam_y,8.0
332,157,170,beam_y,8.0
333,170,183,beam_y,8.0
334,196,209,beam_y,8.0
335,209,222,beam_y,8.0
336,2,15,beam_y,8.0
337,15,28,beam_y,8.0
338,41,54,beam_y,8.0
339,54,67,beam_y,8.0
340,80,93,beam_y,8.0
341,93,106,beam_y,8.0
342,119,132,beam_y,8.0
343,132,145,beam_y,8.0
344,158,171,beam_y,8.0
345,171,184,beam_y,8.0
346,197,210,beam_y,8.0
347,210,223,beam_y,8.0
348,3,16,beam_y,8.0
349,16,29,beam_y,8.0
350,42,55,beam_y,8.0
351,55,68,beam_y,8.0
352,81,94,beam_y,8.0
353,94,107,beam_y,8.0
354,120,133,beam_y,8.0
355,133,146,beam_y,8.0
356,159,172,beam_y,8.0
357,172,185,beam_y,8.0
358,198,211,beam_y,8.0
359,211,224,beam_y,8.0
360,4,17,beam_y,8.0
361,17,30,beam_y,8.0
362,43,56,beam_y,8.0
363,56,69,beam_y,8.0
364,82,95,beam_y,8.0
365,95,108,beam_y,8.0
366,121,134,beam_y,8.0
367,134,147,beam_y,8.0
368,160,173,beam_y,8.0
369,173,186,beam_y,8.0
370,199,212,beam_y,8.0
371,212,225,beam_y,8.0
372,5,18,beam_y,8.0
373,18,31,beam_y,8.0
374,44,57,beam_y,8.0
375,57,70,beam_y,8.0
376,83,96,beam_y,8.0
377,96,109,beam_y,8.0
