mode,T,freq,X%,Y%,type
1,0.11514928143855514,8.68437898619116,8.397964292980612e-05,72.29405103940326,SWAY Y
2,0.08194480591995629,12.203335998828289,66.54146791671607,9.802523365199879e-05,SWAY X
3,0.055290808801848515,18.08618867529692,2.4050473223639257e-22,2.1872819668212822e-24,Torsion/Local
4,0.03952167298867148,25.302572598246048,0.0038316130494356867,0.0037528457991553763,Torsion/Local
5,0.03926491630635202,25.468028307963735,8.786787015124765e-26,1.7359435695861747e-24,Torsion/Local
6,0.03641999853418101,27.457442071599125,0.00013540482266035208,13.224742418298566,Sway Y (moderate)
7,0.028146534396604524,35.52835265291615,2.5968405086071565e-25,2.686071604335225e-26,Torsion/Local
8,0.027137082237372618,36.849945445602145,0.001638845918400803,7.355824555929709,Local/Coupled
9,0.026578171171802965,37.62486115150426,6.670081177151898e-27,9.67481488106814e-24,Torsion/Local
10,0.025010466950299407,39.98325988823766,7.9500066566180065e-28,5.769523056472984e-24,Torsion/Local
11,0.024952255659390073,40.0765371135366,0.00043094312065788677,0.7637544399268974,Torsion/Local
12,0.024761684561559194,40.38497451633121,0.00011960221203136702,0.10952892781118109,Torsion/Local
