mode,T_s,f_Hz,Mx%,My%,Mz%,Mrz%,cumMx%,cumMy%,type
1,0.14008445666182326,7.138550727395058,0.0,73.4,0.0,0.0,0.0,73.4,SWAY Y
2,0.09627587828247591,10.386817735029892,67.1,0.0,0.0,0.0,67.1,73.4,SWAY X
3,0.06800373451364734,14.705074760259157,0.0,0.0,0.0,2.05,67.1,73.4,Local/Coupled
4,0.04929576171683234,20.28571960697676,0.0,0.0,0.0,0.0,67.1,73.4,Local/Coupled
5,0.04836706077649528,20.675227808880326,0.0,0.0,0.0,0.0,67.1,73.4,Local/Coupled
6,0.044972770409216406,22.23567707527902,0.0,14.55,0.0,0.0,67.1,87.95,Sway Y (mod.)
7,0.034846366567410206,28.697396558275383,0.0,0.0,0.0,0.02,67.1,87.95,Local/Coupled
8,0.03456145547707983,28.933966645680513,0.0,6.35,0.0,0.0,67.1,94.3,Local/Coupled
9,0.03282547852677878,30.464140810139522,0.0,0.0,0.0,0.0,67.1,94.3,Local/Coupled
10,0.031245463060957487,32.00464650016795,0.0,0.21,0.0,0.0,67.1,94.51,Local/Coupled
11,0.031217858202147983,32.03294708831734,0.0,0.0,0.0,0.0,67.1,94.51,Local/Coupled
12,0.03080076984403151,32.46672096391699,0.0,0.04,0.0,0.0,67.1,94.55,Local/Coupled
13,0.030616562872053762,32.66205955838308,0.0,0.0,0.0,0.0,67.1,94.55,Local/Coupled
14,0.030440660213633678,32.85079866803029,0.03,0.0,0.0,0.0,67.13,94.55,Local/Coupled
15,0.030032032839525085,33.297779252688564,0.0,0.0,0.0,0.1,67.13,94.55,Local/Coupled
16,0.02989566332686406,33.44966756771729,0.0,0.0,0.0,0.0,67.13,94.55,Local/Coupled
17,0.02985216551400912,33.498407327626424,8.88,0.0,0.0,0.0,76.01,94.55,Local/Coupled
18,0.02979928542960055,33.5578516593109,0.0,0.0,0.0,0.06,76.01,94.55,Local/Coupled
19,0.029678641291358446,33.69426484800606,0.0,0.0,0.0,0.0,76.01,94.55,Local/Coupled
20,0.029676187289410454,33.697051115351215,0.14,0.0,0.0,0.0,76.15,94.55,Local/Coupled
21,0.029445091903999132,33.961517364603075,0.0,0.0,0.0,0.0,76.15,94.55,Local/Coupled
22,0.02944330536445887,33.96357805693596,0.0,0.0,0.0,0.0,76.15,94.55,Local/Coupled
23,0.029422303682386696,33.98782130709356,0.0,0.0,0.0,0.0,76.15,94.55,Local/Coupled
24,0.02941891311385382,33.99173844832101,0.0,0.0,0.0,0.0,76.15,94.55,Local/Coupled
25,0.02920316697458078,34.24286142905072,0.0,0.0,0.0,0.0,76.15,94.55,Local/Coupled
26,0.028159769686562457,35.51165407709955,0.0,0.0,0.0,0.0,76.15,94.55,Local/Coupled
27,0.028132897378351826,35.545574511976746,0.3,0.0,0.0,0.0,76.45,94.55,Local/Coupled
28,0.027891514897169876,35.85319778028511,0.0,0.0,0.0,0.0,76.45,94.55,Local/Coupled
29,0.027854010029008284,35.901473394981906,0.0,0.0,0.0,0.0,76.45,94.55,Local/Coupled
30,0.02770979420865925,36.088322867713764,0.0,0.0,0.0,0.0,76.45,94.55,Local/Coupled
31,0.026597037737076442,37.59817201770532,0.0,0.0,0.0,0.01,76.45,94.55,Local/Coupled
32,0.02650218142735482,37.73274297216257,0.0,0.01,0.0,0.0,76.46,94.56,Local/Coupled
33,0.025482024523245876,39.243349722379946,0.0,0.0,0.0,0.0,76.46,94.56,Local/Coupled
34,0.02517515556811845,39.72170091637445,9.6,0.0,0.0,0.0,86.05,94.56,Local/Coupled
35,0.02457586078820022,40.69033465880215,0.0,0.0,0.0,0.15,86.05,94.56,Local/Coupled
36,0.024424918308694428,40.94179507016138,0.0,0.38,0.0,0.0,86.05,94.94,Local/Coupled
37,0.024207173922271823,41.310067966254806,0.12,0.01,0.0,0.0,86.17,94.95,Local/Coupled
38,0.024086943798393785,41.51626741731693,0.0,0.0,0.0,0.01,86.17,94.95,Local/Coupled
39,0.02399854734956894,41.66918878187692,0.0,0.0,0.0,0.04,86.17,94.95,Local/Coupled
40,0.023841669494483193,41.9433714669769,0.0,0.13,0.0,0.0,86.17,95.08,Local/Coupled
41,0.02380085729421582,42.01529329966715,0.0,0.0,0.0,0.0,86.17,95.08,Local/Coupled
42,0.023788560321620102,42.037012180647,0.01,0.0,0.0,0.0,86.18,95.08,Local/Coupled
43,0.023693543138497773,42.205591377980895,0.0,0.01,0.0,0.0,86.18,95.08,Local/Coupled
44,0.023684871226403514,42.2210444144284,0.0,0.0,0.0,0.0,86.18,95.08,Local/Coupled
45,0.023611338997074315,42.352532405041075,0.01,0.0,0.0,0.0,86.19,95.08,Local/Coupled
46,0.023601160519425478,42.370797790936045,0.0,0.0,0.0,0.0,86.19,95.08,Local/Coupled
47,0.023589945722389864,42.39094111398792,0.0,0.01,0.0,0.0,86.19,95.09,Local/Coupled
48,0.023559529098698212,42.4456701070165,0.0,0.0,0.0,0.0,86.19,95.09,Local/Coupled
49,0.02354725004438759,42.467804015966045,0.02,0.0,0.0,0.0,86.21,95.09,Local/Coupled
50,0.02352320331574342,42.51121697063801,0.0,0.0,0.0,0.0,86.21,95.09,Local/Coupled
