node_id,x,y,z,floor,zone
0,0.0,0.0,0.0,0,podium
1,0.0,0.0,9.0,1,podium
2,0.0,0.0,15.0,2,podium
3,0.0,0.0,21.0,3,podium
4,0.0,0.0,27.0,4,podium
5,0.0,0.0,33.0,5,podium
6,0.0,0.0,39.0,6,podium
7,0.0,0.0,45.0,7,podium
8,0.0,0.0,51.0,8,podium
9,0.0,0.0,57.0,9,podium
10,0.0,0.0,63.0,10,podium
11,0.0,0.0,69.0,11,podium
12,0.0,0.0,75.0,12,podium
13,0.0,8.0,0.0,0,podium
14,0.0,8.0,9.0,1,podium
15,0.0,8.0,15.0,2,podium
16,0.0,8.0,21.0,3,podium
17,0.0,8.0,27.0,4,podium
18,0.0,8.0,33.0,5,podium
19,0.0,8.0,39.0,6,podium
20,0.0,8.0,45.0,7,podium
21,0.0,8.0,51.0,8,podium
22,0.0,8.0,57.0,9,podium
23,0.0,8.0,63.0,10,podium
24,0.0,8.0,69.0,11,podium
25,0.0,8.0,75.0,12,podium
26,0.0,16.0,0.0,0,podium
27,0.0,16.0,9.0,1,podium
28,0.0,16.0,15.0,2,podium
29,0.0,16.0,21.0,3,podium
30,0.0,16.0,27.0,4,podium
31,0.0,16.0,33.0,5,podium
32,0.0,16.0,39.0,6,podium
33,0.0,16.0,45.0,7,podium
34,0.0,16.0,51.0,8,podium
35,0.0,16.0,57.0,9,podium
36,0.0,16.0,63.0,10,podium
37,0.0,16.0,69.0,11,podium
38,0.0,16.0,75.0,12,podium
39,8.0,0.0,0.0,0,podium
40,8.0,0.0,9.0,1,podium
41,8.0,0.0,15.0,2,podium
42,8.0,0.0,21.0,3,podium
43,8.0,0.0,27.0,4,podium
44,8.0,0.0,33.0,5,podium
45,8.0,0.0,39.0,6,podium
46,8.0,0.0,45.0,7,podium
47,8.0,0.0,51.0,8,podium
48,8.0,0.0,57.0,9,podium
49,8.0,0.0,63.0,10,podium
50,8.0,0.0,69.0,11,podium
51,8.0,0.0,75.0,12,podium
52,8.0,8.0,0.0,0,podium
53,8.0,8.0,9.0,1,podium
54,8.0,8.0,15.0,2,podium
55,8.0,8.0,21.0,3,podium
56,8.0,8.0,27.0,4,podium
57,8.0,8.0,33.0,5,podium
58,8.0,8.0,39.0,6,podium
59,8.0,8.0,45.0,7,podium
60,8.0,8.0,51.0,8,podium
61,8.0,8.0,57.0,9,podium
62,8.0,8.0,63.0,10,podium
63,8.0,8.0,69.0,11,podium
64,8.0,8.0,75.0,12,podium
65,8.0,16.0,0.0,0,podium
66,8.0,16.0,9.0,1,podium
67,8.0,16.0,15.0,2,podium
68,8.0,16.0,21.0,3,podium
69,8.0,16.0,27.0,4,podium
70,8.0,16.0,33.0,5,podium
71,8.0,16.0,39.0,6,podium
