element_id,node_i,node_j,element_type,tower,connection,length
0,0,32,column,tower1,rigid,9.0
1,1,33,column,tower1,rigid,9.0
2,2,34,column,tower1,rigid,9.0
3,3,35,column,tower1,rigid,9.0
4,4,36,column,tower1,rigid,9.0
5,5,37,column,tower1,rigid,9.0
6,6,38,column,tower1,rigid,9.0
7,7,39,column,tower1,rigid,9.0
8,8,40,column,tower1,rigid,9.0
9,9,41,column,tower1,rigid,9.0
10,10,42,column,tower1,rigid,9.0
11,11,43,column,tower1,rigid,9.0
12,12,44,column,tower1,rigid,9.0
13,13,45,column,tower1,rigid,9.0
14,14,46,column,tower1,rigid,9.0
15,15,47,column,tower1,rigid,9.0
16,16,48,column,tower1,rigid,9.0
17,17,49,column,tower1,rigid,9.0
18,18,50,column,tower1,rigid,9.0
19,19,51,column,tower1,rigid,9.0
20,20,52,column,tower1,rigid,9.0
21,21,53,column,tower1,rigid,9.0
22,22,54,column,tower1,rigid,9.0
23,23,55,column,tower1,rigid,9.0
24,24,56,column,tower1,rigid,9.0
25,25,57,column,tower1,rigid,9.0
26,26,58,column,tower1,rigid,9.0
27,27,59,column,tower1,rigid,9.0
28,28,60,column,tower1,rigid,9.0
29,29,61,column,tower1,rigid,9.0
30,30,62,column,tower1,rigid,9.0
31,31,63,column,tower1,rigid,9.0
32,0,4,beam_x,tower1,rigid,3.0
33,1,5,beam_x,tower1,rigid,3.0
34,2,6,beam_x,tower1,rigid,3.0
35,3,7,beam_x,tower1,rigid,3.0
36,4,8,beam_x,tower1,rigid,8.0
37,5,9,beam_x,tower1,rigid,8.0
38,6,10,beam_x,tower1,rigid,8.0
39,7,11,beam_x,tower1,rigid,8.0
40,8,12,beam_x,tower1,rigid,3.4
41,9,13,beam_x,tower1,rigid,3.4
42,10,14,beam_x,tower1,rigid,3.4
43,11,15,beam_x,tower1,rigid,3.4
44,12,16,beam_x,tower1,rigid,1.2
45,13,17,beam_x,tower1,rigid,1.2
46,14,18,beam_x,tower1,rigid,1.2
47,15,19,beam_x,tower1,rigid,1.2
48,16,20,beam_x,tower1,rigid,3.4
49,17,21,beam_x,tower1,rigid,3.4
50,18,22,beam_x,tower1,rigid,3.4
51,19,23,beam_x,tower1,rigid,3.4
52,20,24,beam_x,tower1,rigid,8.0
53,21,25,beam_x,tower1,rigid,8.0
54,22,26,beam_x,tower1,rigid,8.0
55,23,27,beam_x,tower1,rigid,8.0
56,24,28,beam_x,tower1,rigid,3.0
57,25,29,beam_x,tower1,rigid,3.0
58,26,30,beam_x,tower1,rigid,3.0
59,27,31,beam_x,tower1,rigid,3.0
60,0,1,beam_y,tower1,rigid,7.4
61,4,5,beam_y,tower1,rigid,7.4
62,8,9,beam_y,tower1,rigid,7.4
63,12,13,beam_y,tower1,rigid,7.4
64,16,17,beam_y,tower1,rigid,7.4
65,20,21,beam_y,tower1,rigid,7.4
66,24,25,beam_y,tower1,rigid,7.4
67,28,29,beam_y,tower1,rigid,7.4
68,1,2,beam_y,tower1,rigid,1.2
69,13,14,beam_y,tower1,rigid,1.2
70,17,18,beam_y,tower1,rigid,1.2
71,29,30,beam_y,tower1,rigid,1.2
72,2,3,beam_y,tower1,rigid,7.4
73,6,7,beam_y,tower1,rigid,7.4
74,10,11,beam_y,tower1,rigid,7.4
75,14,15,beam_y,tower1,rigid,7.4
76,18,19,beam_y,tower1,rigid,7.4
77,22,23,beam_y,tower1,rigid,7.4
78,26,27,beam_y,tower1,rigid,7.4
79,30,31,beam_y,tower1,rigid,7.4
80,8,44,brace_xz,tower1,pin,9.6208
81,12,40,brace_xz,tower1,pin,9.6208
82,16,52,brace_xz,tower1,pin,9.6208
83,20,48,brace_xz,tower1,pin,9.6208
84,11,47,brace_xz,tower1,pin,9.6208
85,15,43,brace_xz,tower1,pin,9.6208
86,19,55,brace_xz,tower1,pin,9.6208
87,23,51,brace_xz,tower1,pin,9.6208
88,32,64,column,tower1,rigid,6.0
89,33,65,column,tower1,rigid,6.0
90,34,66,column,tower1,rigid,6.0
91,35,67,column,tower1,rigid,6.0
92,36,68,column,tower1,rigid,6.0
93,37,69,column,tower1,rigid,6.0
94,38,70,column,tower1,rigid,6.0
95,39,71,column,tower1,rigid,6.0
96,40,72,column,tower1,rigid,6.0
97,41,73,column,tower1,rigid,6.0
98,42,74,column,tower1,rigid,6.0
99,43,75,column,tower1,rigid,6.0
100,44,76,column,tower1,rigid,6.0
101,45,77,column,tower1,rigid,6.0
102,46,78,column,tower1,rigid,6.0
103,47,79,column,tower1,rigid,6.0
104,48,80,column,tower1,rigid,6.0
105,49,81,column,tower1,rigid,6.0
106,50,82,column,tower1,rigid,6.0
107,51,83,column,tower1,rigid,6.0
108,52,84,column,tower1,rigid,6.0
109,53,85,column,tower1,rigid,6.0
110,54,86,column,tower1,rigid,6.0
111,55,87,column,tower1,rigid,6.0
112,56,88,column,tower1,rigid,6.0
113,57,89,column,tower1,rigid,6.0
114,58,90,column,tower1,rigid,6.0
115,59,91,column,tower1,rigid,6.0
116,60,92,column,tower1,rigid,6.0
117,61,93,column,tower1,rigid,6.0
118,62,94,column,tower1,rigid,6.0
119,63,95,column,tower1,rigid,6.0
120,32,36,beam_x,tower1,rigid,3.0
121,35,39,beam_x,tower1,rigid,3.0
122,36,40,beam_x,tower1,rigid,8.0
123,39,43,beam_x,tower1,rigid,8.0
124,40,44,beam_x,tower1,rigid,3.4
125,43,47,beam_x,tower1,rigid,3.4
126,44,48,beam_x,tower1,rigid,1.2
127,45,49,beam_x,tower1,rigid,1.2
128,46,50,beam_x,tower1,rigid,1.2
129,47,51,beam_x,tower1,rigid,1.2
130,48,52,beam_x,tower1,rigid,3.4
131,51,55,beam_x,tower1,rigid,3.4
132,52,56,beam_x,tower1,rigid,8.0
133,55,59,beam_x,tower1,rigid,8.0
134,56,60,beam_x,tower1,rigid,3.0
135,59,63,beam_x,tower1,rigid,3.0
136,32,33,beam_y,tower1,rigid,7.4
137,44,45,beam_y,tower1,rigid,7.4
138,48,49,beam_y,tower1,rigid,7.4
139,60,61,beam_y,tower1,rigid,7.4
140,33,34,beam_y,tower1,rigid,1.2
141,45,46,beam_y,tower1,rigid,1.2
142,49,50,beam_y,tower1,rigid,1.2
143,61,62,beam_y,tower1,rigid,1.2
144,34,35,beam_y,tower1,rigid,7.4
145,46,47,beam_y,tower1,rigid,7.4
146,50,51,beam_y,tower1,rigid,7.4
147,62,63,beam_y,tower1,rigid,7.4
148,40,76,brace_xz,tower1,pin,6.8964
149,44,72,brace_xz,tower1,pin,6.8964
150,48,84,brace_xz,tower1,pin,6.8964
151,52,80,brace_xz,tower1,pin,6.8964
152,43,79,brace_xz,tower1,pin,6.8964
153,47,75,brace_xz,tower1,pin,6.8964
154,51,87,brace_xz,tower1,pin,6.8964
155,55,83,brace_xz,tower1,pin,6.8964
156,64,96,column,tower1,rigid,6.0
157,65,97,column,tower1,rigid,6.0
158,66,98,column,tower1,rigid,6.0
159,67,99,column,tower1,rigid,6.0
160,68,100,column,tower1,rigid,6.0
161,69,101,column,tower1,rigid,6.0
162,70,102,column,tower1,rigid,6.0
163,71,103,column,tower1,rigid,6.0
164,72,104,column,tower1,rigid,6.0
165,73,105,column,tower1,rigid,6.0
166,74,106,column,tower1,rigid,6.0
167,75,107,column,tower1,rigid,6.0
168,76,108,column,tower1,rigid,6.0
169,77,109,column,tower1,rigid,6.0
170,78,110,column,tower1,rigid,6.0
171,79,111,column,tower1,rigid,6.0
172,80,112,column,tower1,rigid,6.0
173,81,113,column,tower1,rigid,6.0
174,82,114,column,tower1,rigid,6.0
175,83,115,column,tower1,rigid,6.0
176,84,116,column,tower1,rigid,6.0
177,85,117,column,tower1,rigid,6.0
178,86,118,column,tower1,rigid,6.0
179,87,119,column,tower1,rigid,6.0
180,88,120,column,tower1,rigid,6.0
181,89,121,column,tower1,rigid,6.0
182,90,122,column,tower1,rigid,6.0
183,91,123,column,tower1,rigid,6.0
184,92,124,column,tower1,rigid,6.0
185,93,125,column,tower1,rigid,6.0
186,94,126,column,tower1,rigid,6.0
187,95,127,column,tower1,rigid,6.0
188,64,68,beam_x,tower1,rigid,3.0
189,67,71,beam_x,tower1,rigid,3.0
190,68,72,beam_x,tower1,rigid,8.0
191,71,75,beam_x,tower1,rigid,8.0
192,72,76,beam_x,tower1,rigid,3.4
193,75,79,beam_x,tower1,rigid,3.4
194,76,80,beam_x,tower1,rigid,1.2
195,77,81,beam_x,tower1,rigid,1.2
196,78,82,beam_x,tower1,rigid,1.2
197,79,83,beam_x,tower1,rigid,1.2
198,80,84,beam_x,tower1,rigid,3.4
199,83,87,beam_x,tower1,rigid,3.4
200,84,88,beam_x,tower1,rigid,8.0
201,87,91,beam_x,tower1,rigid,8.0
202,88,92,beam_x,tower1,rigid,3.0
203,91,95,beam_x,tower1,rigid,3.0
204,64,65,beam_y,tower1,rigid,7.4
205,76,77,beam_y,tower1,rigid,7.4
206,80,81,beam_y,tower1,rigid,7.4
207,92,93,beam_y,tower1,rigid,7.4
208,65,66,beam_y,tower1,rigid,1.2
209,77,78,beam_y,tower1,rigid,1.2
210,81,82,beam_y,tower1,rigid,1.2
211,93,94,beam_y,tower1,rigid,1.2
212,66,67,beam_y,tower1,rigid,7.4
213,78,79,beam_y,tower1,rigid,7.4
214,82,83,beam_y,tower1,rigid,7.4
215,94,95,beam_y,tower1,rigid,7.4
216,72,108,brace_xz,tower1,pin,6.8964
217,76,104,brace_xz,tower1,pin,6.8964
218,80,116,brace_xz,tower1,pin,6.8964
219,84,112,brace_xz,tower1,pin,6.8964
220,75,111,brace_xz,tower1,pin,6.8964
221,79,107,brace_xz,tower1,pin,6.8964
222,83,119,brace_xz,tower1,pin,6.8964
223,87,115,brace_xz,tower1,pin,6.8964
224,96,128,column,tower1,rigid,6.0
225,97,129,column,tower1,rigid,6.0
226,98,130,column,tower1,rigid,6.0
227,99,131,column,tower1,rigid,6.0
228,100,132,column,tower1,rigid,6.0
229,101,133,column,tower1,rigid,6.0
230,102,134,column,tower1,rigid,6.0
231,103,135,column,tower1,rigid,6.0
232,104,136,column,tower1,rigid,6.0
233,105,137,column,tower1,rigid,6.0
234,106,138,column,tower1,rigid,6.0
235,107,139,column,tower1,rigid,6.0
236,108,140,column,tower1,rigid,6.0
237,109,141,column,tower1,rigid,6.0
238,110,142,column,tower1,rigid,6.0
239,111,143,column,tower1,rigid,6.0
240,112,144,column,tower1,rigid,6.0
241,113,145,column,tower1,rigid,6.0
242,114,146,column,tower1,rigid,6.0
243,115,147,column,tower1,rigid,6.0
244,116,148,column,tower1,rigid,6.0
245,117,149,column,tower1,rigid,6.0
246,118,150,column,tower1,rigid,6.0
247,119,151,column,tower1,rigid,6.0
248,120,152,column,tower1,rigid,6.0
249,121,153,column,tower1,rigid,6.0
250,122,154,column,tower1,rigid,6.0
251,123,155,column,tower1,rigid,6.0
252,124,156,column,tower1,rigid,6.0
253,125,157,column,tower1,rigid,6.0
254,126,158,column,tower1,rigid,6.0
255,127,159,column,tower1,rigid,6.0
256,96,100,beam_x,tower1,rigid,3.0
257,99,103,beam_x,tower1,rigid,3.0
258,100,104,beam_x,tower1,rigid,8.0
259,103,107,beam_x,tower1,rigid,8.0
260,104,108,beam_x,tower1,rigid,3.4
261,107,111,beam_x,tower1,rigid,3.4
262,108,112,beam_x,tower1,rigid,1.2
263,109,113,beam_x,tower1,rigid,1.2
264,110,114,beam_x,tower1,rigid,1.2
265,111,115,beam_x,tower1,rigid,1.2
266,112,116,beam_x,tower1,rigid,3.4
267,115,119,beam_x,tower1,rigid,3.4
268,116,120,beam_x,tower1,rigid,8.0
269,119,123,beam_x,tower1,rigid,8.0
270,120,124,beam_x,tower1,rigid,3.0
271,123,127,beam_x,tower1,rigid,3.0
272,96,97,beam_y,tower1,rigid,7.4
273,108,109,beam_y,tower1,rigid,7.4
274,112,113,beam_y,tower1,rigid,7.4
275,124,125,beam_y,tower1,rigid,7.4
276,97,98,beam_y,tower1,rigid,1.2
277,109,110,beam_y,tower1,rigid,1.2
278,113,114,beam_y,tower1,rigid,1.2
279,125,126,beam_y,tower1,rigid,1.2
280,98,99,beam_y,tower1,rigid,7.4
281,110,111,beam_y,tower1,rigid,7.4
282,114,115,beam_y,tower1,rigid,7.4
283,126,127,beam_y,tower1,rigid,7.4
284,104,140,brace_xz,tower1,pin,6.8964
285,108,136,brace_xz,tower1,pin,6.8964
286,112,148,brace_xz,tower1,pin,6.8964
287,116,144,brace_xz,tower1,pin,6.8964
288,107,143,brace_xz,tower1,pin,6.8964
289,111,139,brace_xz,tower1,pin,6.8964
290,115,151,brace_xz,tower1,pin,6.8964
291,119,147,brace_xz,tower1,pin,6.8964
292,128,160,column,tower1,rigid,6.0
293,129,161,column,tower1,rigid,6.0
294,130,162,column,tower1,rigid,6.0
295,131,163,column,tower1,rigid,6.0
296,132,164,column,tower1,rigid,6.0
297,133,165,column,tower1,rigid,6.0
298,134,166,column,tower1,rigid,6.0
299,135,167,column,tower1,rigid,6.0
300,136,168,column,tower1,rigid,6.0
301,137,169,column,tower1,rigid,6.0
302,138,170,column,tower1,rigid,6.0
303,139,171,column,tower1,rigid,6.0
304,140,172,column,tower1,rigid,6.0
305,141,173,column,tower1,rigid,6.0
306,142,174,column,tower1,rigid,6.0
307,143,175,column,tower1,rigid,6.0
308,144,176,column,tower1,rigid,6.0
309,145,177,column,tower1,rigid,6.0
310,146,178,column,tower1,rigid,6.0
311,147,179,column,tower1,rigid,6.0
312,148,180,column,tower1,rigid,6.0
313,149,181,column,tower1,rigid,6.0
314,150,182,column,tower1,rigid,6.0
315,151,183,column,tower1,rigid,6.0
316,152,184,column,tower1,rigid,6.0
317,153,185,column,tower1,rigid,6.0
318,154,186,column,tower1,rigid,6.0
319,155,187,column,tower1,rigid,6.0
320,156,188,column,tower1,rigid,6.0
321,157,189,column,tower1,rigid,6.0
322,158,190,column,tower1,rigid,6.0
323,159,191,column,tower1,rigid,6.0
324,128,132,beam_x,tower1,rigid,3.0
325,129,133,beam_x,tower1,rigid,3.0
326,130,134,beam_x,tower1,rigid,3.0
327,131,135,beam_x,tower1,rigid,3.0
328,132,136,beam_x,tower1,rigid,8.0
329,133,137,beam_x,tower1,rigid,8.0
