node_id,x,y,z,floor,zone,tower
0,0.0,0.0,0.0,0,tower,1
1,0.0,7.4,0.0,0,tower,1
2,0.0,8.6,0.0,0,tower,1
3,0.0,16.0,0.0,0,tower,1
4,3.0,0.0,0.0,0,tower,1
5,3.0,7.4,0.0,0,tower,1
6,3.0,8.6,0.0,0,tower,1
7,3.0,16.0,0.0,0,tower,1
8,11.0,0.0,0.0,0,tower,1
9,11.0,7.4,0.0,0,tower,1
10,11.0,8.6,0.0,0,tower,1
11,11.0,16.0,0.0,0,tower,1
12,14.4,0.0,0.0,0,tower,1
13,14.4,7.4,0.0,0,tower,1
14,14.4,8.6,0.0,0,tower,1
15,14.4,16.0,0.0,0,tower,1
16,15.6,0.0,0.0,0,tower,1
17,15.6,7.4,0.0,0,tower,1
18,15.6,8.6,0.0,0,tower,1
19,15.6,16.0,0.0,0,tower,1
20,19.0,0.0,0.0,0,tower,1
21,19.0,7.4,0.0,0,tower,1
22,19.0,8.6,0.0,0,tower,1
23,19.0,16.0,0.0,0,tower,1
24,27.0,0.0,0.0,0,tower,1
25,27.0,7.4,0.0,0,tower,1
26,27.0,8.6,0.0,0,tower,1
27,27.0,16.0,0.0,0,tower,1
28,30.0,0.0,0.0,0,tower,1
29,30.0,7.4,0.0,0,tower,1
30,30.0,8.6,0.0,0,tower,1
31,30.0,16.0,0.0,0,tower,1
32,0.0,0.0,9.0,1,tower,1
33,0.0,7.4,9.0,1,tower,1
34,0.0,8.6,9.0,1,tower,1
35,0.0,16.0,9.0,1,tower,1
36,3.0,0.0,9.0,1,tower,1
37,3.0,7.4,9.0,1,tower,1
38,3.0,8.6,9.0,1,tower,1
39,3.0,16.0,9.0,1,tower,1
40,11.0,0.0,9.0,1,tower,1
41,11.0,7.4,9.0,1,tower,1
42,11.0,8.6,9.0,1,tower,1
43,11.0,16.0,9.0,1,tower,1
44,14.4,0.0,9.0,1,tower,1
45,14.4,7.4,9.0,1,tower,1
46,14.4,8.6,9.0,1,tower,1
47,14.4,16.0,9.0,1,tower,1
48,15.6,0.0,9.0,1,tower,1
49,15.6,7.4,9.0,1,tower,1
50,15.6,8.6,9.0,1,tower,1
51,15.6,16.0,9.0,1,tower,1
52,19.0,0.0,9.0,1,tower,1
53,19.0,7.4,9.0,1,tower,1
54,19.0,8.6,9.0,1,tower,1
55,19.0,16.0,9.0,1,tower,1
56,27.0,0.0,9.0,1,tower,1
57,27.0,7.4,9.0,1,tower,1
58,27.0,8.6,9.0,1,tower,1
59,27.0,16.0,9.0,1,tower,1
60,30.0,0.0,9.0,1,tower,1
61,30.0,7.4,9.0,1,tower,1
62,30.0,8.6,9.0,1,tower,1
63,30.0,16.0,9.0,1,tower,1
64,0.0,0.0,15.0,2,tower,1
65,0.0,7.4,15.0,2,tower,1
66,0.0,8.6,15.0,2,tower,1
67,0.0,16.0,15.0,2,tower,1
68,3.0,0.0,15.0,2,tower,1
69,3.0,7.4,15.0,2,tower,1
70,3.0,8.6,15.0,2,tower,1
71,3.0,16.0,15.0,2,tower,1
72,11.0,0.0,15.0,2,tower,1
73,11.0,7.4,15.0,2,tower,1
74,11.0,8.6,15.0,2,tower,1
75,11.0,16.0,15.0,2,tower,1
76,14.4,0.0,15.0,2,tower,1
77,14.4,7.4,15.0,2,tower,1
78,14.4,8.6,15.0,2,tower,1
79,14.4,16.0,15.0,2,tower,1
80,15.6,0.0,15.0,2,tower,1
81,15.6,7.4,15.0,2,tower,1
82,15.6,8.6,15.0,2,tower,1
83,15.6,16.0,15.0,2,tower,1
84,19.0,0.0,15.0,2,tower,1
85,19.0,7.4,15.0,2,tower,1
86,19.0,8.6,15.0,2,tower,1
87,19.0,16.0,15.0,2,tower,1
88,27.0,0.0,15.0,2,tower,1
89,27.0,7.4,15.0,2,tower,1
90,27.0,8.6,15.0,2,tower,1
91,27.0,16.0,15.0,2,tower,1
92,30.0,0.0,15.0,2,tower,1
93,30.0,7.4,15.0,2,tower,1
94,30.0,8.6,15.0,2,tower,1
95,30.0,16.0,15.0,2,tower,1
96,0.0,0.0,21.0,3,tower,1
97,0.0,7.4,21.0,3,tower,1
98,0.0,8.6,21.0,3,tower,1
99,0.0,16.0,21.0,3,tower,1
100,3.0,0.0,21.0,3,tower,1
101,3.0,7.4,21.0,3,tower,1
102,3.0,8.6,21.0,3,tower,1
103,3.0,16.0,21.0,3,tower,1
104,11.0,0.0,21.0,3,tower,1
