Mode	T (s)	f (Hz)	Mx%	My%	Mz%	Mrz%	ΣMx%	ΣMy%	Type
1	0.1401	7.14	0.0	73.4	0.0	0.0	0.0	73.4	SWAY Y
2	0.0963	10.39	67.1	0.0	0.0	0.0	67.1	73.4	SWAY X
3	0.0680	14.71	0.0	0.0	0.0	2.0	67.1	73.4	Local/Coupled
4	0.0493	20.29	0.0	0.0	0.0	0.0	67.1	73.4	Local/Coupled
5	0.0484	20.68	0.0	0.0	0.0	0.0	67.1	73.4	Local/Coupled
6	0.0450	22.24	0.0	14.6	0.0	0.0	67.1	88.0	Sway Y (mod.)
7	0.0348	28.70	0.0	0.0	0.0	0.0	67.1	88.0	Local/Coupled
8	0.0346	28.93	0.0	6.3	0.0	0.0	67.1	94.3	Local/Coupled
9	0.0328	30.46	0.0	0.0	0.0	0.0	67.1	94.3	Local/Coupled
10	0.0312	32.00	0.0	0.2	0.0	0.0	67.1	94.5	Local/Coupled
11	0.0312	32.03	0.0	0.0	0.0	0.0	67.1	94.5	Local/Coupled
12	0.0308	32.47	0.0	0.0	0.0	0.0	67.1	94.5	Local/Coupled
13	0.0306	32.66	0.0	0.0	0.0	0.0	67.1	94.5	Local/Coupled
14	0.0304	32.85	0.0	0.0	0.0	0.0	67.1	94.5	Local/Coupled
15	0.0300	33.30	0.0	0.0	0.0	0.1	67.1	94.5	Local/Coupled
16	0.0299	33.45	0.0	0.0	0.0	0.0	67.1	94.5	Local/Coupled
17	0.0299	33.50	8.9	0.0	0.0	0.0	76.0	94.5	Local/Coupled
18	0.0298	33.56	0.0	0.0	0.0	0.1	76.0	94.5	Local/Coupled
19	0.0297	33.69	0.0	0.0	0.0	0.0	76.0	94.5	Local/Coupled
20	0.0297	33.70	0.1	0.0	0.0	0.0	76.2	94.5	Local/Coupled
21	0.0294	33.96	0.0	0.0	0.0	0.0	76.2	94.5	Local/Coupled
22	0.0294	33.96	0.0	0.0	0.0	0.0	76.2	94.5	Local/Coupled
23	0.0294	33.99	0.0	0.0	0.0	0.0	76.2	94.5	Local/Coupled
24	0.0294	33.99	0.0	0.0	0.0	0.0	76.2	94.5	Local/Coupled
25	0.0292	34.24	0.0	0.0	0.0	0.0	76.2	94.5	Local/Coupled
26	0.0282	35.51	0.0	0.0	0.0	0.0	76.2	94.5	Local/Coupled
27	0.0281	35.55	0.3	0.0	0.0	0.0	76.5	94.5	Local/Coupled
28	0.0279	35.85	0.0	0.0	0.0	0.0	76.5	94.5	Local/Coupled
29	0.0279	35.90	0.0	0.0	0.0	0.0	76.5	94.5	Local/Coupled
30	0.0277	36.09	0.0	0.0	0.0	0.0	76.5	94.5	Local/Coupled
31	0.0266	37.60	0.0	0.0	0.0	0.0	76.5	94.5	Local/Coupled
32	0.0265	37.73	0.0	0.0	0.0	0.0	76.5	94.6	Local/Coupled
33	0.0255	39.24	0.0	0.0	0.0	0.0	76.5	94.6	Local/Coupled
34	0.0252	39.72	9.6	0.0	0.0	0.0	86.0	94.6	Local/Coupled
35	0.0246	40.69	0.0	0.0	0.0	0.1	86.0	94.6	Local/Coupled
36	0.0244	40.94	0.0	0.4	0.0	0.0	86.0	94.9	Local/Coupled
37	0.0242	41.31	0.1	0.0	0.0	0.0	86.2	95.0	Local/Coupled
38	0.0241	41.52	0.0	0.0	0.0	0.0	86.2	95.0	Local/Coupled
39	0.0240	41.67	0.0	0.0	0.0	0.0	86.2	95.0	Local/Coupled
40	0.0238	41.94	0.0	0.1	0.0	0.0	86.2	95.1	Local/Coupled
41	0.0238	42.02	0.0	0.0	0.0	0.0	86.2	95.1	Local/Coupled
42	0.0238	42.04	0.0	0.0	0.0	0.0	86.2	95.1	Local/Coupled
43	0.0237	42.21	0.0	0.0	0.0	0.0	86.2	95.1	Local/Coupled
44	0.0237	42.22	0.0	0.0	0.0	0.0	86.2	95.1	Local/Coupled
45	0.0236	42.35	0.0	0.0	0.0	0.0	86.2	95.1	Local/Coupled
46	0.0236	42.37	0.0	0.0	0.0	0.0	86.2	95.1	Local/Coupled
47	0.0236	42.39	0.0	0.0	0.0	0.0	86.2	95.1	Local/Coupled
48	0.0236	42.45	0.0	0.0	0.0	0.0	86.2	95.1	Local/Coupled
49	0.0235	42.47	0.0	0.0	0.0	0.0	86.2	95.1	Local/Coupled
50	0.0235	42.51	0.0	0.0	0.0	0.0	86.2	95.1	Local/Coupled
