z	phi_x	phi_y
0.0	0.000000	0.000000
9.0	0.004481	-0.230299
15.0	0.002501	-0.366586
21.0	-0.002843	-0.511657
27.0	-0.009594	-0.642710
33.0	-0.016970	-0.760302
39.0	-0.024867	-0.823017
45.0	-0.031861	-0.887921
51.0	-0.038350	-0.951687
57.0	-0.043720	-1.000000
63.0	-0.046111	-0.993680
69.0	-0.047820	-0.978501
75.0	-0.049055	-0.966842
81.0	-0.050106	-0.891277
87.0	-0.048662	-0.799327
93.0	-0.045036	-0.696926
99.0	-0.038452	-0.557363
105.0	-0.031810	-0.425197
111.0	-0.025455	-0.344187
117.0	-0.018658	-0.180197
123.0	-0.010312	0.007706
129.0	-0.000975	0.197334
135.0	0.008759	0.378500
141.0	0.018443	0.545548
147.0	0.028004	0.647982
153.0	0.035134	0.692684
