Time [sec]	Acceleration [g]
0.00000	0.00004
0.00100	0.00004
0.00200	-0.00202
0.00300	-0.00145
0.00400	-0.00087
0.00500	-0.00029
0.00600	0.00026
0.00700	0.00083
0.00800	0.00141
0.00900	0.00138
0.01000	0.00136
0.01100	0.00133
0.01200	0.00130
0.01300	0.00127
0.01400	0.00125
0.01500	0.00122
0.01600	0.00119
0.01700	0.00116
0.01800	0.00114
0.01900	0.00111
0.02000	0.00108
0.02100	0.00105
0.02200	0.00105
0.02300	0.00103
0.02400	0.00100
0.02500	0.00097
0.02600	0.00094
0.02700	0.00092
0.02800	0.00092
0.02900	0.00089
0.03000	0.00086
0.03100	0.00086
0.03200	0.00083
0.03300	0.00081
0.03400	0.00081
0.03500	0.00078
0.03600	0.00075
0.03700	0.00075
0.03800	0.00072
0.03900	0.00072
0.04000	0.00070
0.04100	0.00070
0.04200	0.00067
0.04300	0.00067
0.04400	0.00064
0.04500	0.00064
0.04600	0.00061
0.04700	0.00061
0.04800	0.00061
0.04900	0.00059
0.05000	0.00059
0.05100	0.00059
0.05200	0.00056
0.05300	0.00056
0.05400	0.00056
0.05500	0.00056
0.05600	0.00056
0.05700	0.00056
0.05800	0.00053
0.05900	0.00053
0.06000	0.00053
0.06100	0.00053
0.06200	0.00053
0.06300	0.00053
0.06400	0.00053
0.06500	0.00053
0.06600	0.00056
0.06700	0.00056
0.06800	0.00056
0.06900	0.00056
0.07000	0.00056
0.07100	0.00056
0.07200	0.00059
0.07300	0.00059
0.07400	0.00059
0.07500	0.00062
0.07600	0.00062
0.07700	0.00062
0.07800	0.00064
0.07900	0.00064
0.08000	0.00067
0.08100	0.00067
0.08200	0.00070
0.08300	0.00070
0.08400	0.00073
0.08500	0.00075
0.08600	0.00075
0.08700	0.00078
0.08800	0.00081
0.08900	0.00081
0.09000	0.00084
0.09100	0.00086
0.09200	0.00089
0.09300	0.00092
0.09400	0.00095
0.09500	0.00095
0.09600	0.00098
0.09700	0.00100
0.09800	0.00103
0.09900	0.00106
0.10000	0.00109
0.10100	0.00111
0.10200	0.00114
0.10300	0.00117
0.10400	0.00122
0.10500	0.00125
0.10600	0.00128
0.10700	0.00131
0.10800	0.00133
0.10900	0.00136
0.11000	0.00142
0.11100	0.00145
0.11200	0.00147
0.11300	0.00153
0.11400	0.00156
0.11500	0.00158
0.11600	0.00164
0.11700	0.00167
0.11800	0.00169
0.11900	0.00175
0.12000	0.00178
0.12100	0.00183
0.12200	0.00186
0.12300	0.00192
0.12400	0.00194
0.12500	0.00200
0.12600	0.00203
0.12700	0.00208
0.12800	0.00211
0.12900	0.00217
0.13000	0.00219
0.13100	0.00225
0.13200	0.00230
0.13300	0.00233
0.13400	0.00239
0.13500	0.00241
0.13600	0.00247
0.13700	0.00253
0.13800	0.00255
0.13900	0.00261
0.14000	0.00264
0.14100	0.00269
0.14200	0.00275
0.14300	0.00277
0.14400	0.00283
0.14500	0.00286
0.14600	0.00291
0.14700	0.00297
0.14800	0.00300
0.14900	0.00305
0.15000	0.00308
0.15100	0.00313
0.15200	0.00319
0.15300	0.00322
0.15400	0.00327
0.15500	0.00330
0.15600	0.00336
0.15700	0.00338
