time_s,disp_mm,vel_mm_s,accel_m_s2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.358671266000000064e-04
1.000000000000000021e-03,-6.748930376149633456e-08,-1.349786075229926681e-04,-1.340900884459853297e-04
2.000000000000000042e-03,-2.694250397548918576e-07,-2.688928644637984095e-04,-1.337384254356260990e-04
3.000000000000000062e-03,-6.047344392488205852e-07,-4.017259345240590152e-04,-1.319277146848953292e-04
4.000000000000000083e-03,-1.072347944684923702e-06,-5.335010763481473411e-04,-1.316225689632812142e-04
5.000000000000000104e-03,-1.671091202380142494e-06,-6.639854390422902279e-04,-1.293461564250045594e-04
6.000000000000000125e-03,-2.399575230742311305e-06,-7.929826176820469136e-04,-1.286482008545092456e-04
7.000000000000000146e-03,-3.256234202522787072e-06,-9.203353258789052308e-04,-1.260572155392071720e-04
8.000000000000000167e-03,-4.239318453836010646e-06,-1.045833176747542085e-03,-1.249384861980665370e-04
9.000000000000001055e-03,-5.346869438142612284e-06,-1.169268791865660066e-03,-1.219327440381689912e-04
1.000000000000000021e-02,-6.576790197735937997e-06,-1.290572727320992309e-03,-1.206751268724946260e-04
1.099999999999999936e-02,-7.927697477681102140e-06,-1.411241832569334800e-03,-1.206630836241894889e-04
1.200000000000000025e-02,-9.397728600920339647e-06,-1.528820413909141515e-03,-1.144940790554239420e-04
1.300000000000000114e-02,-1.098334626111275230e-05,-1.642414906475685556e-03,-1.126949060776637061e-04
1.400000000000000029e-02,-1.268177701441945846e-05,-1.754446600137723805e-03,-1.113684812464127915e-04
1.499999999999999944e-02,-1.449131950863444684e-05,-1.864638388292254095e-03,-1.090150950626477889e-04
1.600000000000000033e-02,-1.641041496460693733e-05,-1.973552523652724426e-03,-1.088131756582924397e-04
1.700000000000000122e-02,-1.843698622311812588e-05,-2.079589993369657976e-03,-1.032617637755729246e-04
1.800000000000000211e-02,-2.056719157714357509e-05,-2.180820714681241251e-03,-9.919967884759362691e-05
1.899999999999999953e-02,-2.279733053142190302e-05,-2.279457193875408707e-03,-9.807327954074041682e-05
2.000000000000000042e-02,-2.512470096351802627e-05,-2.375283670316838663e-03,-9.357967334211949478e-05
2.100000000000000130e-02,-2.754687313995070187e-05,-2.469060682548515021e-03,-9.397435112123322227e-05
2.199999999999999872e-02,-3.006190343883947158e-05,-2.560999915229025380e-03,-8.990411423978576116e-05
2.299999999999999961e-02,-3.266768753294010312e-05,-2.650568272972234508e-03,-8.923260124663249366e-05
2.400000000000000050e-02,-3.536022311899814454e-05,-2.734502899143852889e-03,-7.863665109660340096e-05
2.500000000000000139e-02,-3.813394144338320762e-05,-2.812933749626273482e-03,-7.822504986823605017e-05
2.600000000000000228e-02,-4.098950454539653442e-05,-2.898192454400376657e-03,-9.229235967997029993e-05
2.699999999999999969e-02,-4.392169802132070476e-05,-2.966194497447964019e-03,-4.371172641520442554e-05
2.800000000000000058e-02,-4.692132872425282199e-05,-3.033066908416270652e-03,-9.003309552140797306e-05
2.900000000000000147e-02,-4.998833010698261177e-05,-3.100935857043315633e-03,-4.570480173268112018e-05
2.999999999999999889e-02,-5.312201217583127687e-05,-3.166428280654009358e-03,-8.528004548870633133e-05
3.099999999999999978e-02,-5.631718932781721405e-05,-3.223926023317865656e-03,-2.971543983900539593e-05
3.200000000000000067e-02,-5.956673607841771249e-05,-3.275167477883127003e-03,-7.276746929151643056e-05
3.300000000000000155e-02,-6.286361593309048505e-05,-3.318592231462416491e-03,-1.408203786706254518e-05
3.400000000000000244e-02,-6.620681850324365342e-05,-3.367812908843930211e-03,-8.435931689596489640e-05
3.500000000000000333e-02,-6.959226661767313688e-05,-3.403083320015023051e-03,1.381849455377835039e-05
3.600000000000000422e-02,-7.300974596590144099e-05,-3.431875376441592771e-03,-7.140260740691779123e-05
3.699999999999999817e-02,-7.645646423158382603e-05,-3.461561154923166461e-03,1.203105044376954363e-05
3.799999999999999906e-02,-7.993133084968482476e-05,-3.488172081278856362e-03,-6.525290315514934597e-05
3.899999999999999994e-02,-8.342910994525469992e-05,-3.507386109860881167e-03,2.682484599109973716e-05
4.000000000000000083e-02,-8.694134505762977406e-05,-3.517084114889261481e-03,-4.622085604785863160e-05
4.100000000000000172e-02,-9.046392712309269833e-05,-3.528080016036602446e-03,2.422905375317756954e-05
4.200000000000000261e-02,-9.399384381735825128e-05,-3.531753372494486534e-03,-3.157576666894574440e-05
4.300000000000000350e-02,-9.751948648215699354e-05,-3.519531957103002977e-03,5.601859745191199052e-05
4.399999999999999745e-02,-1.010343244093835882e-04,-3.510143897350180998e-03,-3.724247794626716506e-05
4.499999999999999833e-02,-1.045362237856750257e-04,-3.493654855232699013e-03,7.022056218123113474e-05
4.599999999999999922e-02,-1.080316031797787170e-04,-3.497103932974691964e-03,-7.711871766521790511e-05
4.700000000000000011e-02,-1.115245724679454688e-04,-3.488834643358801248e-03,9.365729689699846977e-05
4.800000000000000100e-02,-1.150002802077357614e-04,-3.462580836221793891e-03,-4.114968262298462237e-05
4.900000000000000189e-02,-1.184533590203117157e-04,-3.443576788930114655e-03,7.915777720634222686e-05
5.000000000000000278e-02,-1.218892281648490999e-04,-3.428161500144640429e-03,-4.832719963539377377e-05
5.100000000000000366e-02,-1.253009583676487320e-04,-3.395298905454606844e-03,1.140523890154618097e-04
5.200000000000000455e-02,-1.286752278639799604e-04,-3.353240087207888867e-03,-2.993475252202585529e-05
5.299999999999999850e-02,-1.320064813539784283e-04,-3.309266892789027546e-03,1.178811413597484969e-04
5.399999999999999939e-02,-1.353015933312867421e-04,-3.280957061827608282e-03,-6.126147943691170211e-05
5.500000000000000028e-02,-1.385683417432671946e-04,-3.252539762133294880e-03,1.180960788255376386e-04
5.600000000000000117e-02,-1.417853190230997519e-04,-3.181414797531795843e-03,2.415385037746043523e-05
5.700000000000000205e-02,-1.449486679044166104e-04,-3.145282965101955062e-03,4.810981448222025774e-05
5.800000000000000294e-02,-1.480652215476091558e-04,-3.087824321283131907e-03,6.680747315542692028e-05
5.900000000000000383e-02,-1.511215031984302899e-04,-3.024738980359144031e-03,5.936320869254883164e-05
5.999999999999999778e-02,-1.541135016526068717e-04,-2.959257927994007019e-03,7.159889603772606032e-05
6.099999999999999867e-02,-1.570416813423377092e-04,-2.897101451467649306e-03,5.271405701498849843e-05
6.199999999999999956e-02,-1.599119427560954064e-04,-2.843421376047738144e-03,5.464609382483382577e-05
6.300000000000000044e-02,-1.627318022034699905e-04,-2.796297518701458627e-03,3.960162086772347372e-05
6.400000000000000133e-02,-1.654988357255764229e-04,-2.737769525511390620e-03,7.745436551241167262e-05
6.500000000000000222e-02,-1.681880781172816013e-04,-2.640715257898971786e-03,1.166541697124251281e-04
