time,disp,vel,accel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.358671266000000064e-04
1.000000000000000021e-02,-5.871761281075518340e-09,-1.174352256215103761e-06,-9.900332464302073212e-05
2.000000000000000042e-02,-2.072914713925670687e-08,-1.797124915421133746e-06,-2.555120719818535315e-05
2.999999999999999889e-02,-3.796284090767838454e-08,-1.649613838263201789e-06,5.505342262977181247e-05
4.000000000000000083e-02,-5.040414869790982575e-08,-8.386477197830865056e-07,1.071398010662513018e-04
5.000000000000000278e-02,-5.325434668506063303e-08,2.686081223529250503e-07,1.143113673609510094e-04
5.999999999999999778e-02,-4.587938715584065306e-08,1.206383783491070890e-06,7.324376486667817546e-05
7.000000000000000666e-02,-3.182285853827775906e-08,1.604921940021507911e-06,6.463866439409242251e-06
8.000000000000000167e-02,-1.712097944372685991e-08,1.335453878888671759e-06,-6.035747866597648945e-05
8.999999999999999667e-02,-7.705686829177268207e-09,5.476046440212465159e-07,-9.721236830750854571e-05
1.000000000000000056e-01,-7.012402870892358376e-09,-4.089478523642645695e-07,-9.409813096959365611e-05
1.100000000000000006e-01,-1.480967705688397612e-08,-1.150506984834059117e-06,-5.421369552436523819e-05
1.199999999999999956e-01,-2.740681461839525834e-08,-1.368920527468197208e-06,1.053098699753756925e-05
1.300000000000000044e-01,-3.925087644393469787e-08,-9.998918376396905930e-07,6.327475096816370290e-05
1.400000000000000133e-01,-4.549951293063484147e-08,-2.498354597003381806e-07,8.673652461970677110e-05
1.499999999999999944e-01,-4.396821184585032197e-08,5.560956766572421341e-07,7.444970265180930031e-05
1.600000000000000033e-01,-3.577715203538089592e-08,1.082116285436643024e-06,3.075441910407088956e-05
1.700000000000000122e-01,-2.464342565189843102e-08,1.144628991259849848e-06,-1.825187793942946034e-05
1.799999999999999933e-01,-1.511160886595013512e-08,7.617343659298093321e-07,-5.832704712657865308e-05
1.900000000000000022e-01,-1.082781822880910199e-08,9.502376149839730728e-08,-7.501507375970374765e-05
2.000000000000000111e-01,-1.318945877036011243e-08,-5.673518698085994212e-07,-5.746005250169559974e-05
2.099999999999999922e-01,-2.084905010106377548e-08,-9.645663963321331760e-07,-2.198285280301113176e-05
2.200000000000000011e-01,-3.044172672598280129e-08,-9.539689286516720384e-07,2.410234633910335929e-05
2.300000000000000100e-01,-3.801246245172752620e-08,-5.601782164972730499e-07,5.465579609177645534e-05
2.399999999999999911e-01,-4.050280471274112028e-08,6.210976429455428715e-08,6.980180006658899343e-05
2.500000000000000000e-01,-3.696551533236166893e-08,6.453481117813359288e-07,4.684586943076734676e-05
2.600000000000000089e-01,-2.950085889207720151e-08,8.475831762755575029e-07,-6.398856531923040412e-06
2.700000000000000178e-01,-2.117216587993578550e-08,8.181554261527256981e-07,5.133065073567133312e-07
2.800000000000000266e-01,-1.487073309256505307e-08,4.421311313214207626e-07,-7.571816547361767333e-05
2.899999999999999800e-01,-1.329288606877834611e-08,-1.265617265640793717e-07,-3.802040610348234972e-05
2.999999999999999889e-01,-1.701187480227653689e-08,-6.172360201355587314e-07,-6.011445261081352093e-05
3.099999999999999978e-01,-2.403447302540203228e-08,-7.872836244895403194e-07,2.610493174001721857e-05
3.200000000000000067e-01,-3.098236967764054652e-08,-6.022957059581625292e-07,1.089265196625835474e-05
3.300000000000000155e-01,-3.471926776594493852e-08,-1.450839117027158695e-07,8.054970688483096110e-05
3.400000000000000244e-01,-3.412369189197566754e-08,2.641990864965700642e-07,1.306892755026226906e-06
3.500000000000000333e-01,-2.963376489646395710e-08,6.337863126057719988e-07,7.261055246681415620e-05
3.599999999999999867e-01,-2.270908503775672427e-08,7.511496591356744883e-07,-4.913788316083364982e-05
3.699999999999999956e-01,-1.635629595234874152e-08,5.194081579459220339e-07,2.789582922883170795e-06
3.800000000000000044e-01,-1.332190864935344414e-08,8.746930265313740205e-08,-8.917735398144009716e-05
3.900000000000000133e-01,-1.448598987391124616e-08,-3.202855475646978189e-07,7.626383937873055510e-06
4.000000000000000222e-01,-1.869554684324386613e-08,-5.216258463018261740e-07,-4.789444368529871890e-05
4.100000000000000311e-01,-2.400970396422182416e-08,-5.412055778937654588e-07,4.397849736691085854e-05
4.199999999999999845e-01,-2.825068741954574411e-08,-3.069911131710185317e-07,2.864395577638535360e-06
4.299999999999999933e-01,-2.905718310378949027e-08,1.456919763222692995e-07,8.767222232101905374e-05
4.400000000000000022e-01,-2.603962248552712921e-08,4.578201473302028871e-07,-2.524658811943234047e-05
4.500000000000000111e-01,-2.076208161095981598e-08,5.976880275832597838e-07,5.322016417004372490e-05
4.600000000000000200e-01,-1.635445560626674187e-08,2.838371733553550918e-07,-1.159903350156246769e-04
4.700000000000000289e-01,-1.520791797008667736e-08,-5.452964611934218985e-08,4.831697112068521270e-05
4.799999999999999822e-01,-1.660071318718028087e-08,-2.240293972993785390e-07,-8.221692135669247871e-05
4.899999999999999911e-01,-1.964589787245001672e-08,-3.850075397545686578e-07,5.002129286565445813e-05
5.000000000000000000e-01,-2.377506390238866434e-08,-4.408256662331608657e-07,-6.118491816137291582e-05
5.100000000000000089e-01,-2.693922881477557063e-08,-1.920073162442204452e-07,1.109485881591610186e-04
5.200000000000000178e-01,-2.704278108493131106e-08,1.712968622130723597e-07,-3.828775246770245379e-05
5.300000000000000266e-01,-2.402532701116592257e-08,4.321939525400053116e-07,9.046717053308904672e-05
5.400000000000000355e-01,-2.017190122179736241e-08,3.384912053337067738e-07,-1.092077199743487619e-04
5.500000000000000444e-01,-1.804739312167429990e-08,8.641041469090572722e-08,5.879156184578854878e-05
5.600000000000000533e-01,-1.682331834064620447e-08,1.584045415147133320e-07,-4.439273648102702021e-05
5.700000000000000622e-01,-1.687454608100281765e-08,-1.686500895860359672e-07,-2.101818973912284512e-05
5.799999999999999600e-01,-1.896165424231274698e-08,-2.487715426759498732e-07,4.993899121140060542e-06
5.899999999999999689e-01,-2.120497775359037974e-08,-1.998931595795766790e-07,4.781777498134579993e-06
5.999999999999999778e-01,-2.258924197650343081e-08,-7.695968500303353379e-08,1.980491741717405074e-05
6.099999999999999867e-01,-2.289084653628201970e-08,1.663877304731575483e-08,-1.085225807104189626e-06
6.199999999999999956e-01,-2.280584328857391982e-08,3.618764943042217787e-10,-2.170153503498116772e-06
6.300000000000000044e-01,-2.328225567344324740e-08,-9.564435346816973719e-08,-1.703109248899667926e-05
6.400000000000000133e-01,-2.411636546544498459e-08,-7.117760493217770165e-08,2.192444219619508171e-05
6.500000000000000222e-01,-2.300548153596646104e-08,2.933543908278824384e-07,5.098195695581694863e-05
6.600000000000000311e-01,-1.901100438815787924e-08,5.055410387338339480e-07,-8.544627374626660265e-06
6.700000000000000400e-01,-1.467492890096064907e-08,3.616740587056120999e-07,-2.022876863101771697e-05
6.800000000000000488e-01,-1.261975113193562357e-08,4.936149509939300006e-08,-4.223374409022609410e-05
6.900000000000000577e-01,-1.372034753976499042e-08,-2.694807766652663580e-07,-2.153471026270577411e-05
7.000000000000000666e-01,-1.760224417773584434e-08,-5.068985509289043995e-07,-2.594884459002185157e-05
7.099999999999999645e-01,-2.304654826345062208e-08,-5.819622662140511738e-07,1.093610153299249502e-05
7.199999999999999734e-01,-2.846224539752818829e-08,-5.011771606014621211e-07,5.220919589525317207e-06
7.299999999999999822e-01,-3.235797667054901034e-08,-2.779690940027022892e-07,3.942069373022665088e-05
7.399999999999999911e-01,-3.060362182939208545e-08,6.288400622340872675e-07,1.419411375171312833e-04
7.500000000000000000e-01,-2.071632043973077315e-08,1.348620215698175219e-06,2.014893175686296046e-06
7.600000000000000089e-01,-1.032173353753909481e-08,7.302971647401605808e-07,-1.256795033672892170e-04
7.700000000000000178e-01,-7.467645628353468998e-09,-1.594795829030354455e-07,-5.227584616134998237e-05
7.800000000000000266e-01,-9.231487421291253359e-09,-1.932887756845214266e-07,4.551400760505277556e-05
7.900000000000000355e-01,-1.056098871898441125e-08,-7.261148385411016489e-08,-2.137854923897051812e-05
8.000000000000000444e-01,-1.224394179694754468e-08,-2.639791317385165219e-07,-1.689498033791075540e-05
8.100000000000000533e-01,-1.668194284721787982e-08,-6.236210783155505452e-07,-5.503340897749605434e-05
8.200000000000000622e-01,-2.423998838635724095e-08,-8.879880295123216276e-07,2.160018738141829384e-06
8.300000000000000711e-01,-3.089117170983038507e-08,-4.422486351823072234e-07,8.698786012786106502e-05
8.399999999999999689e-01,-3.106535818515214004e-08,4.074113401179562302e-07,8.294413493219163799e-05
8.499999999999999778e-01,-2.400587031501352999e-08,1.004486233909765700e-06,3.647084382617029621e-05
8.599999999999999867e-01,-1.037713777357783635e-08,1.721260274377373120e-06,1.068839642673511607e-04
8.699999999999999956e-01,1.451075196393699984e-09,6.443823196169339574e-07,-3.222595552194389796e-04
8.800000000000000044e-01,1.475209140673558295e-09,-6.395555307609622522e-07,6.547198514385976905e-05
