floor,z,ex,ey,ex_ratio,ey_ratio
0,0.0,0.0,0.0,0.0,0.0
1,9.0,0.0,0.0,0.0,0.0
2,15.0,0.0,0.0,0.0,0.0
3,21.0,0.0,0.0,0.0,0.0
4,27.0,0.0,0.0,0.0,0.0
5,33.0,0.0,0.0,0.0,0.0
6,39.0,0.0,0.0,0.0,0.0
7,45.0,0.0,0.0,0.0,0.0
8,51.0,0.0,0.0,0.0,0.0
9,57.0,0.0,0.0,0.0,0.0
10,63.0,0.0,0.0,0.0,0.0
11,69.0,0.0,0.0,0.0,0.0
12,75.0,0.0,0.0,0.0,0.0
13,81.0,0.0,0.0,0.0,0.0
14,87.0,0.0,0.0,0.0,0.0
15,93.0,0.0,0.0,0.0,0.0
16,99.0,0.0,0.0,0.0,0.0
17,105.0,0.0,0.0,0.0,0.0
18,111.0,0.0,0.0,0.0,0.0
19,117.0,0.0,0.0,0.0,0.0
20,123.0,0.0,0.0,0.0,0.0
21,129.0,0.0,0.0,0.0,0.0
22,135.0,0.0,0.0,0.0,0.0
23,141.0,0.0,0.0,0.0,0.0
24,147.0,0.0,0.0,0.0,0.0
25,153.0,0.0,0.0,0.0,0.0
