mode,eigenvalue,omega_rad_s,frequency_hz,period_s,Sae_g,spectral_region
1,146.23002031496944,12.092560535923292,1.924590783930171,0.5195909740136647,0.8256494463060433,Descending
2,424.20465661641117,20.596229184401963,3.2779916837511283,0.30506483739936235,0.964,Plateau
3,437.38469176896746,20.913744087775566,3.328525750128383,0.30043330743691243,0.964,Plateau
4,1383.1577300053689,37.19082857379449,5.919104205202697,0.16894448303867213,0.964,Plateau
5,3150.3486170423953,56.1279664431413,8.933043305121965,0.11194393286178599,0.964,Plateau
6,3927.934916824353,62.67323923992084,9.974755824614343,0.10025308063505037,0.964,Plateau
7,4414.758022837685,66.44364546619703,10.574834612990658,0.09456412668350858,0.964,Plateau
8,4506.4504681721855,67.13010105885574,10.68408741377537,0.09359713761894768,0.964,Plateau
9,6427.6923906768225,80.17289062193544,12.759911844446885,0.07837044739734625,0.8949198514002817,Ascending
10,8415.203883772087,91.7344203871812,14.599986456289828,0.06849321422275631,0.8307289337802499,Ascending
11,8946.903727460349,94.58807391770037,15.054159521543593,0.06642682366750051,0.8172997169582281,Ascending
12,9501.783677690442,97.47709309212314,15.513961203840243,0.06445807017697487,0.804505031352385,Ascending
