z	phi_x	phi_y
0.0	0.000000	0.000000
9.0	-0.004211	0.053281
15.0	-0.002991	0.087480
21.0	0.000351	0.126776
27.0	0.004569	0.170315
33.0	0.009062	0.211659
39.0	0.013484	0.235613
45.0	0.017516	0.279239
51.0	0.022307	0.328852
57.0	0.027501	0.379436
63.0	0.032680	0.430275
69.0	0.037837	0.476749
75.0	0.042950	0.499607
81.0	0.047269	0.544459
87.0	0.052067	0.595245
93.0	0.057155	0.646186
99.0	0.062071	0.694324
105.0	0.066798	0.736935
111.0	0.071321	0.760971
117.0	0.075313	0.800824
123.0	0.079373	0.845608
129.0	0.083423	0.889954
135.0	0.087086	0.930263
141.0	0.090612	0.966837
147.0	0.093980	0.988869
153.0	0.096703	1.000000
