elem_id,n1,n2,x_mid,y_mid,z_mid,x1,y1,z1,x2,y2,z2,length,orientation,element_type,N_max,V_max,M_max,sigma_axial,sigma_bending,sigma_combined,tau_shear,utilization,shear_utilization
1,0,39,4000.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,8000.0,x-direction,beam_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,39,78,12000.0,0.0,0.0,8000.0,0.0,0.0,16000.0,0.0,0.0,8000.0,x-direction,beam_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,78,117,20000.0,0.0,0.0,16000.0,0.0,0.0,24000.0,0.0,0.0,8000.0,x-direction,beam_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,117,156,28000.0,0.0,0.0,24000.0,0.0,0.0,32000.0,0.0,0.0,8000.0,x-direction,beam_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,156,195,36000.0,0.0,0.0,32000.0,0.0,0.0,40000.0,0.0,0.0,8000.0,x-direction,beam_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,13,52,4000.0,8000.0,0.0,0.0,8000.0,0.0,8000.0,8000.0,0.0,8000.0,x-direction,beam_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,52,91,12000.0,8000.0,0.0,8000.0,8000.0,0.0,16000.0,8000.0,0.0,8000.0,x-direction,beam_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,91,130,20000.0,8000.0,0.0,16000.0,8000.0,0.0,24000.0,8000.0,0.0,8000.0,x-direction,beam_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,130,169,28000.0,8000.0,0.0,24000.0,8000.0,0.0,32000.0,8000.0,0.0,8000.0,x-direction,beam_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,169,208,36000.0,8000.0,0.0,32000.0,8000.0,0.0,40000.0,8000.0,0.0,8000.0,x-direction,beam_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,26,65,4000.0,16000.0,0.0,0.0,16000.0,0.0,8000.0,16000.0,0.0,8000.0,x-direction,beam_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,65,104,12000.0,16000.0,0.0,8000.0,16000.0,0.0,16000.0,16000.0,0.0,8000.0,x-direction,beam_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,104,143,20000.0,16000.0,0.0,16000.0,16000.0,0.0,24000.0,16000.0,0.0,8000.0,x-direction,beam_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,143,182,28000.0,16000.0,0.0,24000.0,16000.0,0.0,32000.0,16000.0,0.0,8000.0,x-direction,beam_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,182,221,36000.0,16000.0,0.0,32000.0,16000.0,0.0,40000.0,16000.0,0.0,8000.0,x-direction,beam_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1,40,4000.0,0.0,9000.0,0.0,0.0,9000.0,8000.0,0.0,9000.0,8000.0,x-direction,beam_x,0.0006927892178751874,1.7020763889328667e-06,0.010640486893492777,1.9244144940977427e-05,0.00029556908037479935,0.0003148132253157768,7.091984953886944e-08,2.0987548354385117e-05,2.8367939815547776e-08
17,40,79,12000.0,0.0,9000.0,8000.0,0.0,9000.0,16000.0,0.0,9000.0,8000.0,x-direction,beam_x,0.005987543097226615,7.102979065962673e-05,0.3849040094662768,0.0001663206415896282,0.010691778040729912,0.01085809868231954,2.9595746108177807e-06,0.0009048415568599617,1.1838298443271123e-06
18,79,118,20000.0,0.0,9000.0,16000.0,0.0,9000.0,24000.0,0.0,9000.0,8000.0,x-direction,beam_x,0.09232203928347417,1.1003253096801493e-10,0.19543995845272105,0.002564501091207616,0.005428887734797806,0.007993388826005423,4.584688790333956e-12,0.0005328925884003615,1.8338755161335824e-12
19,118,157,28000.0,0.0,9000.0,24000.0,0.0,9000.0,32000.0,0.0,9000.0,8000.0,x-direction,beam_x,0.005988645810301549,7.10297745238766e-05,0.3849039125185384,0.00016635127250837635,0.010691775347737176,0.010858126620245552,2.9595739384948584e-06,0.0009048438850204626,1.1838295753979433e-06
