mode,eigenvalue,omega,frequency,period,Sae,SaR,region
1,17187.416779316645,131.10078862965182,20.865338553654833,0.047926373081774755,0.6872690251801634,0.2602288419801177,Yükselen (Ascending)
2,32638.770805279328,180.6620347645828,28.753255861823195,0.034778670102808724,0.6093041251079777,0.23413771285796994,Yükselen (Ascending)
3,38428.53167217324,196.03196594477453,31.199456384132954,0.032051840509265024,0.5931342285781709,0.2286289935017403,Yükselen (Ascending)
4,157595.05309023618,396.98243423385395,63.18171672897111,0.015827363543945358,0.49692428777343084,0.19513472893589676,Yükselen (Ascending)
5,347718.932936218,589.6769733813743,93.85000514111371,0.010655300428555023,0.4662543384595807,0.18419182219012648,Yükselen (Ascending)
6,358846.50617757795,599.0379839188646,95.33985624049062,0.010488792824247015,0.4652669607593161,0.18383734350106382,Yükselen (Ascending)
7,371398.3149798772,609.4245769411316,96.9929338618682,0.010310029403009326,0.46420690697686795,0.18345662055797132,Yükselen (Ascending)
8,485429.48882392823,696.727700629111,110.88765754417327,0.009018136212333997,0.45654607651271184,0.18070048745224243,Yükselen (Ascending)
9,681455.9535120971,825.5034545730848,131.38295533474232,0.007611337387351071,0.4482038641896215,0.1776897658206284,Yükselen (Ascending)
10,932578.169702223,965.7008696807842,153.69606695783904,0.00650634736329534,0.4416513555921811,0.17531801407601216,Yükselen (Ascending)
11,933640.900969171,966.2509513419228,153.78361517331345,0.006502643333446183,0.44162939097086923,0.17531005344701056,Yükselen (Ascending)
12,962426.8987474825,981.0335869619768,156.13634470417136,0.0064046587096340795,0.44104834944473015,0.17509944178179224,Yükselen (Ascending)
