T	Sae
0.001000	0.635207
0.002467	0.653998
0.003935	0.672790
0.005402	0.691582
0.006869	0.710373
0.008337	0.729165
0.009804	0.747957
0.011271	0.766749
0.012739	0.785540
0.014206	0.804332
0.015673	0.823124
0.017141	0.841915
0.018608	0.860707
0.020076	0.879499
0.021543	0.898290
0.023010	0.917082
0.024478	0.935874
0.025945	0.954666
0.027412	0.973457
0.028880	0.992249
0.030347	1.011041
0.031814	1.029832
0.033282	1.048624
0.034749	1.067416
0.036216	1.086207
0.037684	1.104999
0.039151	1.123791
0.040618	1.142583
0.042086	1.161374
0.043553	1.180166
0.045020	1.198958
0.046488	1.217749
0.047955	1.236541
0.049422	1.255333
0.050890	1.274124
0.052357	1.292916
0.053824	1.311708
0.055292	1.330500
0.056759	1.349291
0.058227	1.368083
0.059694	1.386875
0.061161	1.405666
0.062629	1.424458
0.064096	1.443250
0.065563	1.462041
0.067031	1.480833
0.068498	1.499625
0.069965	1.518417
0.071433	1.537208
0.072900	1.556000
0.082959	1.556000
0.093017	1.556000
0.103076	1.556000
0.113134	1.556000
0.123193	1.556000
0.133252	1.556000
0.143310	1.556000
0.153369	1.556000
0.163428	1.556000
0.173486	1.556000
0.183545	1.556000
0.193603	1.556000
0.203662	1.556000
0.213721	1.556000
0.223779	1.556000
0.233838	1.556000
0.243897	1.556000
0.253955	1.556000
0.264014	1.556000
0.274072	1.556000
0.284131	1.556000
0.294190	1.556000
0.304248	1.556000
0.314307	1.556000
0.324366	1.556000
0.334424	1.556000
0.344483	1.556000
0.354541	1.556000
0.364600	1.556000
0.377567	1.502560
0.390535	1.452669
0.403502	1.405984
0.416469	1.362207
0.429437	1.321074
0.442404	1.282352
0.455371	1.245835
0.468339	1.211340
0.481306	1.178704
0.494273	1.147781
0.507241	1.118438
0.520208	1.090559
0.533176	1.064035
0.546143	1.038771
0.559110	1.014679
0.572078	0.991680
0.585045	0.969699
0.598012	0.948672
0.610980	0.928538
0.623947	0.909240
0.636914	0.890728
0.649882	0.872955
0.662849	0.855878
0.675816	0.839455
0.688784	0.823651
0.701751	0.808431
0.714718	0.793764
0.727686	0.779619
0.740653	0.765969
0.753620	0.752790
0.766588	0.740056
0.779555	0.727745
0.792522	0.715838
0.805490	0.704314
0.818457	0.693155
0.831424	0.682344
0.844392	0.671865
0.857359	0.661704
0.870327	0.651845
0.883294	0.642275
0.896261	0.632982
0.909229	0.623955
0.922196	0.615181
0.935163	0.606651
0.948131	0.598354
0.961098	0.590281
0.974065	0.582423
0.987033	0.574771
1.000000	0.567318
