floor,z,delta_max,delta_min,delta_avg,eta_bi
0,0.0,0.0,0.0,0.0,1.0
1,9.0,1975.8388175776017,741.6852562615499,1358.7620369195758,1.4541463213507122
2,15.0,4017.9327782675996,3331.5373526714893,3674.7350654695447,1.0933938655940092
3,21.0,7416.453814496947,6839.907430371372,7128.18062243416,1.040441342234724
4,27.0,11216.80533446004,10961.151957854672,11088.978646157357,1.0115273635545308
5,33.0,15656.615719339454,15431.283031801644,15543.949375570548,1.0072482443841444
6,39.0,20277.9258437569,19961.30183438699,20119.613839071946,1.0078685409149113
7,45.0,25454.41638584961,24284.227143947257,24869.321764898436,1.0235267622688853
8,51.0,33441.199538021574,31056.970468974854,32249.08500349821,1.0369658405624236
9,57.0,36478.72046947216,34478.44096344894,35478.58071646055,1.0281899594858255
10,63.0,43430.318864856425,42437.27959544783,42933.79923015212,1.0115647728271762
11,69.0,48730.69143766045,47350.61818428663,48040.65481097354,1.0143635974447478
12,75.0,55596.33257807186,54987.07317719058,55291.70287763122,1.0055095011473028
13,81.0,61203.019813811436,60080.57902096156,60641.79941738649,1.0092546791456858
14,87.0,68138.7877489654,67228.23592891429,67683.51183893984,1.006726540890918
15,93.0,72775.93364045901,72150.95891519428,72463.44627782665,1.0043123447570281
16,99.0,79632.6974514827,78087.14680922143,78859.92213035206,1.0097993416713407
17,105.0,82671.65577860788,81158.85726071746,81915.25651966267,1.009233924070831
18,111.0,87545.32498003976,87062.42764853963,87303.8763142897,1.0027656122035278
19,117.0,91869.9509694545,90937.70628885638,91403.82862915544,1.005099593171203
20,123.0,96501.8994988858,96397.63321534393,96449.76635711487,1.0005405211825802
21,129.0,100526.73647155726,99836.65888002701,100181.69767579214,1.003444130053393
22,135.0,104479.28467297583,104363.76228625074,104421.52347961329,1.0005531540954182
23,141.0,107820.8107379114,107328.10183445347,107574.45628618242,1.0022900831687551
24,147.0,110910.43110119968,110723.66838943481,110817.04974531723,1.0008426623529236
25,153.0,113749.3723734688,112669.35399062754,113209.36318204818,1.0047700046731316
