joint,x,y,z
1,0.0,0.0,0.0
2,0.0,0.0,9.0
3,0.0,0.0,15.0
4,0.0,7.700000000000001,0.0
5,0.0,7.700000000000001,9.0
6,0.0,7.700000000000001,15.0
7,0.0,15.400000000000002,0.0
8,0.0,15.400000000000002,9.0
9,0.0,15.400000000000002,15.0
10,0.0,24.0,0.0
11,0.0,24.0,9.0
12,0.0,24.0,15.0
19,0.0,31.7,0.0
20,0.0,31.7,9.0
21,0.0,31.7,15.0
22,0.0,39.4,0.0
23,0.0,39.4,9.0
24,0.0,39.4,15.0
25,2.6999999999999997,0.0,15.0
26,11.0,0.0,15.0
27,14.699999999999998,0.0,15.0
28,18.4,0.0,15.0
29,26.700000000000003,0.0,15.0
30,29.4,0.0,15.0
31,2.6999999999999997,0.0,0.0
32,2.6999999999999997,0.0,9.0
33,11.0,0.0,0.0
34,11.0,0.0,9.0
35,14.699999999999998,0.0,0.0
36,14.699999999999998,0.0,9.0
37,18.4,0.0,0.0
38,18.4,0.0,9.0
39,26.700000000000003,0.0,0.0
40,26.700000000000003,0.0,9.0
41,29.4,0.0,0.0
42,29.4,0.0,9.0
43,2.7,7.700000000000001,0.0
44,2.7,7.700000000000001,9.0
45,2.7,7.700000000000001,15.0
46,2.7,15.400000000000002,0.0
47,2.7,15.400000000000002,9.0
48,2.7,15.400000000000002,15.0
49,2.7,24.0,0.0
50,2.7,24.0,9.0
51,2.7,24.0,15.0
52,2.7,31.7,0.0
53,2.7,31.7,9.0
54,2.7,31.7,15.0
55,2.7,39.4,15.0
56,2.7,39.4,9.0
57,11.0,7.700000000000001,0.0
58,11.0,7.700000000000001,9.0
59,11.0,7.700000000000001,15.0
60,11.0,15.400000000000002,0.0
61,11.0,15.400000000000002,9.0
62,11.0,15.400000000000002,15.0
63,11.0,24.0,0.0
64,11.0,24.0,9.0
65,11.0,24.0,15.0
66,11.0,31.7,0.0
67,11.0,31.7,9.0
68,11.0,31.7,15.0
69,11.0,39.4,15.0
70,11.0,39.4,9.0
71,14.7,7.700000000000001,0.0
72,14.7,7.700000000000001,9.0
73,14.7,7.700000000000001,15.0
74,14.7,15.400000000000002,0.0
75,14.7,15.400000000000002,9.0
76,14.7,15.400000000000002,15.0
77,14.7,24.0,0.0
78,14.7,24.0,9.0
79,14.7,24.0,15.0
80,14.7,31.7,0.0
81,14.7,31.7,9.0
82,14.7,31.7,15.0
83,14.7,39.4,15.0
84,14.7,39.4,9.0
85,18.4,7.700000000000001,0.0
86,18.4,7.700000000000001,9.0
87,18.4,7.700000000000001,15.0
88,18.4,15.400000000000002,0.0
89,18.4,15.400000000000002,9.0
90,18.4,15.400000000000002,15.0
91,18.4,24.0,0.0
92,18.4,24.0,9.0
93,18.4,24.0,15.0
94,18.4,31.7,0.0
95,18.4,31.7,9.0
96,18.4,31.7,15.0
97,18.4,39.4,15.0
98,18.4,39.4,9.0
99,26.7,7.700000000000001,0.0
100,26.7,7.700000000000001,9.0
101,26.7,7.700000000000001,15.0
102,26.7,15.400000000000002,0.0
103,26.7,15.400000000000002,9.0
104,26.7,15.400000000000002,15.0
105,26.7,24.0,0.0
106,26.7,24.0,9.0
107,26.7,24.0,15.0
108,26.7,31.7,0.0
109,26.7,31.7,9.0
110,26.7,31.7,15.0
111,26.7,39.4,15.0
112,26.7,39.4,9.0
113,29.4,7.700000000000001,0.0
114,29.4,7.700000000000001,9.0
115,29.4,7.700000000000001,15.0
116,29.4,15.400000000000002,0.0
117,29.4,15.400000000000002,9.0
118,29.4,15.400000000000002,15.0
119,29.4,24.0,0.0
120,29.4,24.0,9.0
121,29.4,24.0,15.0
122,29.4,31.7,0.0
123,29.4,31.7,9.0
124,29.4,31.7,15.0
125,29.4,39.4,15.0
126,29.4,39.4,9.0
127,2.6999999999999997,39.4,0.0
128,11.0,39.4,0.0
129,14.699999999999998,39.4,0.0
130,18.4,39.4,0.0
131,26.700000000000003,39.4,0.0
132,29.4,39.4,0.0
133,0.0,0.0,21.0
134,0.0,7.700000000000001,21.0
135,0.0,15.400000000000002,21.0
136,0.0,24.0,21.0
137,0.0,31.7,21.0
138,0.0,39.4,21.0
139,2.6999999999999997,0.0,21.0
140,11.0,0.0,21.0
141,14.699999999999998,0.0,21.0
142,18.4,0.0,21.0
143,26.700000000000003,0.0,21.0
144,29.4,0.0,21.0
145,2.7,7.700000000000001,21.0
146,2.7,15.400000000000002,21.0
147,2.7,24.0,21.0
148,2.7,31.7,21.0
149,2.7,39.4,21.0
150,11.0,7.700000000000001,21.0
151,11.0,15.400000000000002,21.0
152,11.0,24.0,21.0
153,11.0,31.7,21.0
154,11.0,39.4,21.0
155,14.7,7.700000000000001,21.0
156,14.7,15.400000000000002,21.0
157,14.7,24.0,21.0
158,14.7,31.7,21.0
159,14.7,39.4,21.0
160,18.4,7.700000000000001,21.0
161,18.4,15.400000000000002,21.0
162,18.4,24.0,21.0
163,18.4,31.7,21.0
164,18.4,39.4,21.0
165,26.7,7.700000000000001,21.0
166,26.7,15.400000000000002,21.0
167,26.7,24.0,21.0
168,26.7,31.7,21.0
169,26.7,39.4,21.0
170,29.4,7.700000000000001,21.0
171,29.4,15.400000000000002,21.0
172,29.4,24.0,21.0
173,29.4,31.7,21.0
174,29.4,39.4,21.0
175,0.0,0.0,27.0
176,0.0,7.700000000000001,27.0
177,0.0,15.400000000000002,27.0
178,0.0,24.0,27.0
179,0.0,31.7,27.0
180,0.0,39.4,27.0
181,2.6999999999999997,0.0,27.0
182,11.0,0.0,27.0
183,14.699999999999998,0.0,27.0
184,18.4,0.0,27.0
185,26.700000000000003,0.0,27.0
186,29.4,0.0,27.0
187,2.7,7.700000000000001,27.0
188,2.7,15.400000000000002,27.0
189,2.7,24.0,27.0
190,2.7,31.7,27.0
191,2.7,39.4,27.0
192,11.0,7.700000000000001,27.0
193,11.0,15.400000000000002,27.0
194,11.0,24.0,27.0
195,11.0,31.7,27.0
196,11.0,39.4,27.0
197,14.7,7.700000000000001,27.0
198,14.7,15.400000000000002,27.0
199,14.7,24.0,27.0
200,14.7,31.7,27.0
201,14.7,39.4,27.0
202,18.4,7.700000000000001,27.0
203,18.4,15.400000000000002,27.0
204,18.4,24.0,27.0
205,18.4,31.7,27.0
206,18.4,39.4,27.0
207,26.7,7.700000000000001,27.0
208,26.7,15.400000000000002,27.0
209,26.7,24.0,27.0
210,26.7,31.7,27.0
211,26.7,39.4,27.0
212,29.4,7.700000000000001,27.0
213,29.4,15.400000000000002,27.0
214,29.4,24.0,27.0
215,29.4,31.7,27.0
216,29.4,39.4,27.0
217,0.0,0.0,33.0
218,0.0,7.700000000000001,33.0
219,0.0,15.400000000000002,33.0
220,0.0,24.0,33.0
221,0.0,31.7,33.0
222,0.0,39.4,33.0
223,2.6999999999999997,0.0,33.0
224,11.0,0.0,33.0
225,14.699999999999998,0.0,33.0
226,18.4,0.0,33.0
227,26.700000000000003,0.0,33.0
228,29.4,0.0,33.0
229,2.7,7.700000000000001,33.0
230,2.7,15.400000000000002,33.0
