T	Sae
0.0000	0.4031
0.0054	0.4349
0.0107	0.4667
0.0161	0.4985
0.0215	0.5304
0.0268	0.5622
0.0322	0.5940
0.0376	0.6258
0.0429	0.6576
0.0483	0.6895
0.0537	0.7213
0.0590	0.7531
0.0644	0.7849
0.0698	0.8167
0.0751	0.8486
0.0805	0.8804
0.0859	0.9122
0.0912	0.9440
0.0966	0.9759
0.1020	1.0077
0.1020	1.0077
0.1160	1.0077
0.1301	1.0077
0.1441	1.0077
0.1582	1.0077
0.1723	1.0077
0.1863	1.0077
0.2004	1.0077
0.2145	1.0077
0.2285	1.0077
0.2426	1.0077
0.2567	1.0077
0.2707	1.0077
0.2848	1.0077
0.2988	1.0077
0.3129	1.0077
0.3270	1.0077
0.3410	1.0077
0.3551	1.0077
0.3692	1.0077
0.3832	1.0077
0.3973	1.0077
0.4113	1.0077
0.4254	1.0077
0.4395	1.0077
0.4535	1.0077
0.4676	1.0077
0.4817	1.0077
0.4957	1.0077
0.5098	1.0077
0.5098	1.0077
0.6218	0.8261
0.7339	0.7000
0.8459	0.6073
0.9580	0.5362
1.0700	0.4801
1.1821	0.4346
1.2941	0.3970
1.4062	0.3653
1.5182	0.3384
1.6302	0.3151
1.7423	0.2948
1.8543	0.2770
1.9664	0.2612
2.0784	0.2472
2.1905	0.2345
2.3025	0.2231
2.4146	0.2128
2.5266	0.2033
2.6386	0.1947
2.7507	0.1868
2.8627	0.1794
2.9748	0.1727
3.0868	0.1664
3.1989	0.1606
3.3109	0.1552
3.4230	0.1501
3.5350	0.1453
3.6471	0.1409
3.7591	0.1367
3.8711	0.1327
3.9832	0.1290
4.0952	0.1254
4.2073	0.1221
4.3193	0.1189
4.4314	0.1159
4.5434	0.1131
4.6555	0.1103
4.7675	0.1078
4.8795	0.1053
4.9916	0.1029
5.1036	0.1007
5.2157	0.0985
5.3277	0.0964
5.4398	0.0944
5.5518	0.0925
5.6639	0.0907
5.7759	0.0889
5.8880	0.0872
6.0000	0.0856
6.0000	0.0856
6.2105	0.0799
6.4211	0.0748
6.6316	0.0701
6.8421	0.0658
7.0526	0.0620
7.2632	0.0584
7.4737	0.0552
7.6842	0.0522
7.8947	0.0495
8.1053	0.0469
8.3158	0.0446
8.5263	0.0424
8.7368	0.0404
8.9474	0.0385
9.1579	0.0368
9.3684	0.0351
9.5789	0.0336
9.7895	0.0322
10.0000	0.0308
