x1	z1	x2	z2	floor
0.0	0.0	3.0	0.0	0
3.0	0.0	11.0	0.0	0
11.0	0.0	14.4	0.0	0
14.4	0.0	15.6	0.0	0
15.6	0.0	19.0	0.0	0
19.0	0.0	27.0	0.0	0
27.0	0.0	30.0	0.0	0
0.0	9.0	3.0	9.0	1
3.0	9.0	11.0	9.0	1
11.0	9.0	14.4	9.0	1
14.4	9.0	15.6	9.0	1
15.6	9.0	19.0	9.0	1
19.0	9.0	27.0	9.0	1
27.0	9.0	30.0	9.0	1
0.0	15.0	3.0	15.0	2
3.0	15.0	11.0	15.0	2
11.0	15.0	14.4	15.0	2
14.4	15.0	15.6	15.0	2
15.6	15.0	19.0	15.0	2
19.0	15.0	27.0	15.0	2
27.0	15.0	30.0	15.0	2
0.0	21.0	3.0	21.0	3
3.0	21.0	11.0	21.0	3
11.0	21.0	14.4	21.0	3
14.4	21.0	15.6	21.0	3
15.6	21.0	19.0	21.0	3
19.0	21.0	27.0	21.0	3
27.0	21.0	30.0	21.0	3
0.0	27.0	3.0	27.0	4
3.0	27.0	11.0	27.0	4
11.0	27.0	14.4	27.0	4
14.4	27.0	15.6	27.0	4
15.6	27.0	19.0	27.0	4
19.0	27.0	27.0	27.0	4
27.0	27.0	30.0	27.0	4
0.0	33.0	3.0	33.0	5
3.0	33.0	11.0	33.0	5
11.0	33.0	14.4	33.0	5
14.4	33.0	15.6	33.0	5
15.6	33.0	19.0	33.0	5
19.0	33.0	27.0	33.0	5
27.0	33.0	30.0	33.0	5
0.0	39.0	3.0	39.0	6
3.0	39.0	11.0	39.0	6
11.0	39.0	14.4	39.0	6
14.4	39.0	15.6	39.0	6
15.6	39.0	19.0	39.0	6
19.0	39.0	27.0	39.0	6
27.0	39.0	30.0	39.0	6
0.0	45.0	3.0	45.0	7
3.0	45.0	11.0	45.0	7
11.0	45.0	14.4	45.0	7
14.4	45.0	15.6	45.0	7
15.6	45.0	19.0	45.0	7
19.0	45.0	27.0	45.0	7
27.0	45.0	30.0	45.0	7
0.0	51.0	3.0	51.0	8
3.0	51.0	11.0	51.0	8
11.0	51.0	14.4	51.0	8
14.4	51.0	15.6	51.0	8
15.6	51.0	19.0	51.0	8
19.0	51.0	27.0	51.0	8
27.0	51.0	30.0	51.0	8
0.0	57.0	3.0	57.0	9
3.0	57.0	11.0	57.0	9
11.0	57.0	14.4	57.0	9
14.4	57.0	15.6	57.0	9
15.6	57.0	19.0	57.0	9
19.0	57.0	27.0	57.0	9
27.0	57.0	30.0	57.0	9
0.0	63.0	3.0	63.0	10
3.0	63.0	11.0	63.0	10
11.0	63.0	14.4	63.0	10
14.4	63.0	15.6	63.0	10
15.6	63.0	19.0	63.0	10
19.0	63.0	27.0	63.0	10
27.0	63.0	30.0	63.0	10
0.0	69.0	3.0	69.0	11
3.0	69.0	11.0	69.0	11
11.0	69.0	14.4	69.0	11
14.4	69.0	15.6	69.0	11
15.6	69.0	19.0	69.0	11
19.0	69.0	27.0	69.0	11
27.0	69.0	30.0	69.0	11
0.0	75.0	3.0	75.0	12
3.0	75.0	11.0	75.0	12
11.0	75.0	14.4	75.0	12
14.4	75.0	15.6	75.0	12
15.6	75.0	19.0	75.0	12
19.0	75.0	27.0	75.0	12
27.0	75.0	30.0	75.0	12
0.0	81.0	3.0	81.0	13
3.0	81.0	11.0	81.0	13
11.0	81.0	14.4	81.0	13
14.4	81.0	15.6	81.0	13
15.6	81.0	19.0	81.0	13
19.0	81.0	27.0	81.0	13
27.0	81.0	30.0	81.0	13
0.0	87.0	3.0	87.0	14
3.0	87.0	11.0	87.0	14
11.0	87.0	14.4	87.0	14
14.4	87.0	15.6	87.0	14
15.6	87.0	19.0	87.0	14
19.0	87.0	27.0	87.0	14
27.0	87.0	30.0	87.0	14
0.0	93.0	3.0	93.0	15
3.0	93.0	11.0	93.0	15
11.0	93.0	14.4	93.0	15
14.4	93.0	15.6	93.0	15
15.6	93.0	19.0	93.0	15
19.0	93.0	27.0	93.0	15
27.0	93.0	30.0	93.0	15
0.0	99.0	3.0	99.0	16
3.0	99.0	11.0	99.0	16
11.0	99.0	14.4	99.0	16
14.4	99.0	15.6	99.0	16
15.6	99.0	19.0	99.0	16
19.0	99.0	27.0	99.0	16
27.0	99.0	30.0	99.0	16
0.0	105.0	3.0	105.0	17
3.0	105.0	11.0	105.0	17
11.0	105.0	14.4	105.0	17
14.4	105.0	15.6	105.0	17
15.6	105.0	19.0	105.0	17
19.0	105.0	27.0	105.0	17
27.0	105.0	30.0	105.0	17
0.0	111.0	3.0	111.0	18
3.0	111.0	11.0	111.0	18
11.0	111.0	14.4	111.0	18
14.4	111.0	15.6	111.0	18
15.6	111.0	19.0	111.0	18
19.0	111.0	27.0	111.0	18
27.0	111.0	30.0	111.0	18
0.0	117.0	3.0	117.0	19
3.0	117.0	11.0	117.0	19
11.0	117.0	14.4	117.0	19
14.4	117.0	15.6	117.0	19
15.6	117.0	19.0	117.0	19
19.0	117.0	27.0	117.0	19
27.0	117.0	30.0	117.0	19
0.0	123.0	3.0	123.0	20
3.0	123.0	11.0	123.0	20
11.0	123.0	14.4	123.0	20
14.4	123.0	15.6	123.0	20
15.6	123.0	19.0	123.0	20
19.0	123.0	27.0	123.0	20
27.0	123.0	30.0	123.0	20
0.0	129.0	3.0	129.0	21
3.0	129.0	11.0	129.0	21
11.0	129.0	14.4	129.0	21
14.4	129.0	15.6	129.0	21
15.6	129.0	19.0	129.0	21
19.0	129.0	27.0	129.0	21
27.0	129.0	30.0	129.0	21
0.0	135.0	3.0	135.0	22
3.0	135.0	11.0	135.0	22
11.0	135.0	14.4	135.0	22
14.4	135.0	15.6	135.0	22
15.6	135.0	19.0	135.0	22
19.0	135.0	27.0	135.0	22
27.0	135.0	30.0	135.0	22
0.0	141.0	3.0	141.0	23
3.0	141.0	11.0	141.0	23
11.0	141.0	14.4	141.0	23
14.4	141.0	15.6	141.0	23
15.6	141.0	19.0	141.0	23
19.0	141.0	27.0	141.0	23
27.0	141.0	30.0	141.0	23
0.0	147.0	3.0	147.0	24
3.0	147.0	11.0	147.0	24
11.0	147.0	14.4	147.0	24
14.4	147.0	15.6	147.0	24
15.6	147.0	19.0	147.0	24
19.0	147.0	27.0	147.0	24
27.0	147.0	30.0	147.0	24
0.0	153.0	3.0	153.0	25
3.0	153.0	11.0	153.0	25
11.0	153.0	14.4	153.0	25
14.4	153.0	15.6	153.0	25
15.6	153.0	19.0	153.0	25
19.0	153.0	27.0	153.0	25
27.0	153.0	30.0	153.0	25
