x1	z1	x2	z2	type	floor
0.0	0.0	3.0	9.0	brace_xz	0
11.0	0.0	3.0	9.0	brace_xz	0
11.0	0.0	14.4	9.0	shear_wall_xz	0
14.4	0.0	11.0	9.0	shear_wall_xz	0
15.6	0.0	19.0	9.0	shear_wall_xz	0
19.0	0.0	15.6	9.0	shear_wall_xz	0
27.0	0.0	19.0	9.0	brace_xz	0
27.0	0.0	30.0	9.0	brace_xz	0
11.0	9.0	14.4	15.0	shear_wall_xz	1
14.4	9.0	11.0	15.0	shear_wall_xz	1
15.6	9.0	19.0	15.0	shear_wall_xz	1
19.0	9.0	15.6	15.0	shear_wall_xz	1
11.0	15.0	14.4	21.0	shear_wall_xz	2
14.4	15.0	11.0	21.0	shear_wall_xz	2
15.6	15.0	19.0	21.0	shear_wall_xz	2
19.0	15.0	15.6	21.0	shear_wall_xz	2
11.0	21.0	14.4	27.0	shear_wall_xz	3
14.4	21.0	11.0	27.0	shear_wall_xz	3
15.6	21.0	19.0	27.0	shear_wall_xz	3
19.0	21.0	15.6	27.0	shear_wall_xz	3
11.0	27.0	14.4	33.0	shear_wall_xz	4
14.4	27.0	11.0	33.0	shear_wall_xz	4
15.6	27.0	19.0	33.0	shear_wall_xz	4
19.0	27.0	15.6	33.0	shear_wall_xz	4
11.0	33.0	14.4	39.0	shear_wall_xz	5
14.4	33.0	11.0	39.0	shear_wall_xz	5
15.6	33.0	19.0	39.0	shear_wall_xz	5
19.0	33.0	15.6	39.0	shear_wall_xz	5
11.0	39.0	14.4	45.0	shear_wall_xz	6
14.4	39.0	11.0	45.0	shear_wall_xz	6
15.6	39.0	19.0	45.0	shear_wall_xz	6
19.0	39.0	15.6	45.0	shear_wall_xz	6
0.0	51.0	3.0	57.0	brace_xz	8
11.0	51.0	3.0	57.0	brace_xz	8
11.0	51.0	14.4	57.0	brace_xz	8
14.4	51.0	11.0	57.0	brace_xz	8
15.6	51.0	19.0	57.0	brace_xz	8
19.0	51.0	15.6	57.0	brace_xz	8
27.0	51.0	19.0	57.0	brace_xz	8
27.0	51.0	30.0	57.0	brace_xz	8
11.0	63.0	14.4	69.0	brace_xz	10
14.4	63.0	11.0	69.0	brace_xz	10
15.6	63.0	19.0	69.0	brace_xz	10
19.0	63.0	15.6	69.0	brace_xz	10
11.0	75.0	14.4	81.0	brace_xz	12
14.4	75.0	11.0	81.0	brace_xz	12
15.6	75.0	19.0	81.0	brace_xz	12
19.0	75.0	15.6	81.0	brace_xz	12
11.0	87.0	14.4	93.0	brace_xz	14
14.4	87.0	11.0	93.0	brace_xz	14
15.6	87.0	19.0	93.0	brace_xz	14
19.0	87.0	15.6	93.0	brace_xz	14
0.0	99.0	3.0	105.0	brace_xz	16
11.0	99.0	3.0	105.0	brace_xz	16
11.0	99.0	14.4	105.0	brace_xz	16
14.4	99.0	11.0	105.0	brace_xz	16
15.6	99.0	19.0	105.0	brace_xz	16
19.0	99.0	15.6	105.0	brace_xz	16
27.0	99.0	19.0	105.0	brace_xz	16
27.0	99.0	30.0	105.0	brace_xz	16
11.0	111.0	14.4	117.0	brace_xz	18
14.4	111.0	11.0	117.0	brace_xz	18
15.6	111.0	19.0	117.0	brace_xz	18
19.0	111.0	15.6	117.0	brace_xz	18
11.0	123.0	14.4	129.0	brace_xz	20
14.4	123.0	11.0	129.0	brace_xz	20
15.6	123.0	19.0	129.0	brace_xz	20
19.0	123.0	15.6	129.0	brace_xz	20
11.0	135.0	14.4	141.0	brace_xz	22
14.4	135.0	11.0	141.0	brace_xz	22
15.6	135.0	19.0	141.0	brace_xz	22
19.0	135.0	15.6	141.0	brace_xz	22
0.0	147.0	3.0	153.0	brace_xz	24
11.0	147.0	3.0	153.0	brace_xz	24
11.0	147.0	14.4	153.0	brace_xz	24
14.4	147.0	11.0	153.0	brace_xz	24
15.6	147.0	19.0	153.0	brace_xz	24
19.0	147.0	15.6	153.0	brace_xz	24
27.0	147.0	19.0	153.0	brace_xz	24
27.0	147.0	30.0	153.0	brace_xz	24
